"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, нольдва";"Как воспитать героиню";Синдуальность;3617052212922;DG-A05-22-10429;;"Music Release";Stream;43;RUB;0.886162538008
01/04/2025;01/03/2025;Yandex;Belarus;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;8;RUB;0.170322806532
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;4;RUB;0.136622873985
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, нольдва";"Как воспитать героиню";Синдуальность;3617052212922;DG-A05-22-10429;;"Music Release";Stream;5;RUB;0.021000000036
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Как воспитать героиню";Синдуальность;3617052212922;DG-A05-22-10429;;"Music Release";Stream;-1;RUB;-0.036478744413
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;1;RUB;0.048004913164
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;1;RUB;0.044284257187
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;1;RUB;-0.049417608467
01/06/2025;01/05/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Как воспитать героиню";Синдуальность;3617052212922;DG-A05-22-10429;;"Music Release";Stream;1;RUB;0.020858201942
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;1;RUB;0.124022873985
01/04/2025;01/01/2025;"Facebook / Instagram";"United States";"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;1;RUB;0.006659379611
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;18;RUB;0.340060775146
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;49;RUB;0.205800000036
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;104;RUB;2.183429250263
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, нольдва";"Как воспитать героиню";Синдуальность;3617052212922;DG-A05-22-10429;;"Music Release";Stream;34;RUB;0.691485436375
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Как воспитать героиню";Синдуальность;3617052212922;DG-A05-22-10429;;"Music Release";Stream;1;RUB;0.029926259331
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;262;RUB;5.470828925824
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;1;RUB;0.064707283063
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, нольдва";"Как воспитать героиню";Синдуальность;3617052212922;DG-A05-22-10429;;"Music Release";Stream;8;RUB;0.153571690460
01/06/2025;01/05/2025;Yandex;Belarus;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Как воспитать героиню";Синдуальность;3617052212922;DG-A05-22-10429;;"Music Release";Stream;2;RUB;0.024022973870
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Как воспитать героиню";Синдуальность;3617052212922;DG-A05-22-10429;;"Music Release";Stream;1;RUB;0.057013024554
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Как воспитать героиню";Синдуальность;3617052212922;DG-A05-22-10429;;"Music Release";Stream;1;RUB;0.092996939238
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Как воспитать героиню";Синдуальность;3617052212922;DG-A05-22-10429;;"Music Release";Stream;1;RUB;0.112159289538
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;1;RUB;0.030329150079
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;-1;RUB;-0.010943622926
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;1;RUB;0.016766881446
01/05/2025;01/04/2025;"UMA (Odnoklassniki)";"Moldova, Republic Of";"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;1;RUB;0.004200000000
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;1;RUB;0.004200000038
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, нольдва";"Как воспитать героиню";Синдуальность;3617052212922;DG-A05-22-10429;;"Music Release";Stream;48;RUB;0.960655131759
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Как воспитать героиню";Синдуальность;3617052212922;DG-A05-22-10429;;"Music Release";Stream;1;RUB;-0.069243469385
01/06/2025;01/05/2025;Yandex;Belarus;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;1;RUB;0.020858201942
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Как воспитать героиню";Синдуальность;3617052212922;DG-A05-22-10429;;"Music Release";Stream;1;RUB;0.030562176820
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, нольдва";"Как воспитать героиню";Синдуальность;3617052212922;DG-A05-22-10429;;"Music Release";Stream;11;RUB;2.335088504060
01/06/2025;01/05/2025;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;4;RUB;0.016800000000
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Re Life";"Я с ней";3617053015249;DG-A06-22-30163;;"Music Release";Stream;1;RUB;0.016418007308
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, нольдва";"Как воспитать героиню";Синдуальность;3617052212922;DG-A05-22-10429;;"Music Release";Stream;1;RUB;0.049903898238
