"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";LiLEmpty;Beginning;"oldup Outro";3617054978475;FR-10S-23-02140;;"Music Release";Stream;1;RUB;0.000031949228
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";LiLEmpty;Beginning;problems;3617054978475;FR-10S-23-02138;;"Music Release";Stream;1;RUB;-0.011599216974
01/06/2025;01/05/2025;NetEase;"China Mainland";"трэп хаус квэльчиков";LiLEmpty;Beginning;"oldup Outro";3617054978475;FR-10S-23-02140;;"Music Release";Stream;1;RUB;0.017145903174
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";LiLEmpty;Beginning;puff;3617054978475;FR-10S-23-02137;;"Music Release";Stream;3;RUB;0.012600000036
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";LiLEmpty;Beginning;"oldup Outro";3617054978475;FR-10S-23-02140;;"Music Release";Stream;1;RUB;0.000586860826
01/04/2025;01/03/2025;"Tencent QQ/CN";"China Mainland";"трэп хаус квэльчиков";LiLEmpty;Beginning;"oldup Outro";3617054978475;FR-10S-23-02140;;"Music Release";Stream;1;RUB;0.033525208007
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";LiLEmpty;Beginning;"oldup Outro";3617054978475;FR-10S-23-02140;;"Music Release";Stream;1;RUB;-0.004209288393
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";LiLEmpty;Beginning;problems;3617054978475;FR-10S-23-02138;;"Music Release";Stream;1;RUB;0.105233478358
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";LiLEmpty;Beginning;puff;3617054978475;FR-10S-23-02137;;"Music Release";Stream;1;RUB;0.004200000000
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";LiLEmpty;Beginning;puff;3617054978475;FR-10S-23-02137;;"Music Release";Stream;1;RUB;-0.036376513382
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";LiLEmpty;Beginning;"oldup Outro";3617054978475;FR-10S-23-02140;;"Music Release";Stream;1;RUB;0.000032628178
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";LiLEmpty;Beginning;puff;3617054978475;FR-10S-23-02137;;"Music Release";Stream;1;RUB;0.004200000038
