"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, YELLOW.Eyes";Каннибалы.;Каннибалы.;3617393481933;FR-96X-25-58772;;"Music Release";Stream;2;RUB;0.248045748042
01/05/2025;01/05/2025;"Apple Music";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, YELLOW.Eyes";Каннибалы.;Каннибалы.;3617393481933;FR-96X-25-58772;;"Music Release";Stream;1;RUB;0.069047440024
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, YELLOW.Eyes";Каннибалы.;Каннибалы.;3617393481933;FR-96X-25-58772;;"Music Release";Stream;52;RUB;0.526481156938
01/04/2025;01/04/2025;"YouTube Official Content";Ukraine;"Stars Clique";"МОЛОДОЙ ПАКЕТ, YELLOW.Eyes";Каннибалы.;Каннибалы.;3617393481933;FR-96X-25-58772;;"Music Release";Stream;8;RUB;0.889206603512
01/06/2025;01/06/2025;"Apple Music";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, YELLOW.Eyes";Каннибалы.;Каннибалы.;3617393481933;FR-96X-25-58772;;"Music Release";Stream;1;RUB;0.067359040017
01/05/2025;01/05/2025;"Apple Music";"United States";"Stars Clique";"МОЛОДОЙ ПАКЕТ, YELLOW.Eyes";Каннибалы.;Каннибалы.;3617393481933;FR-96X-25-58772;;"Music Release";Stream;19;RUB;3.561506050575
01/05/2025;01/04/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";"МОЛОДОЙ ПАКЕТ, YELLOW.Eyes";Каннибалы.;Каннибалы.;3617393481933;FR-96X-25-58772;;"Music Release";Stream;1;RUB;0.004200000000
01/05/2025;01/04/2025;Yandex;Belarus;"Stars Clique";"МОЛОДОЙ ПАКЕТ, YELLOW.Eyes";Каннибалы.;Каннибалы.;3617393481933;FR-96X-25-58772;;"Music Release";Stream;1;RUB;0.021850258413
01/06/2025;01/04/2025;TikTok;"United States";"Stars Clique";"МОЛОДОЙ ПАКЕТ, YELLOW.Eyes";Каннибалы.;Каннибалы.;3617393481933;FR-96X-25-58772;;"Music Release";Creation;2;RUB;0.143991354471
01/06/2025;01/05/2025;Yandex;Belarus;"Stars Clique";"МОЛОДОЙ ПАКЕТ, YELLOW.Eyes";Каннибалы.;Каннибалы.;3617393481933;FR-96X-25-58772;;"Music Release";Stream;1;RUB;0.020858201942
