"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/04/2025;"UMA VK Clips";"Russian Federation";"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";"Не молчи";3617224898855;FR-X87-23-72465;;"Music Release";Stream;3;RUB;0.002379652947
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";Вижу;3617224898855;FR-X87-23-72469;;"Music Release";Stream;15;RUB;0.327753875395
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";Горю;3617224898855;FR-X87-23-72472;;"Music Release";Stream;1;RUB;0.004313818791
01/06/2025;01/05/2025;Yandex;Kyrgyzstan;"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";Пустота;3617224898855;FR-X87-23-72470;;"Music Release";Stream;2;RUB;0.041716403884
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";"Без Таблеток";3617224898855;FR-X87-23-72467;;"Music Release";Stream;1;RUB;0.004332735308
01/04/2025;01/03/2025;Yandex;Kyrgyzstan;"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";Вижу;3617224898855;FR-X87-23-72469;;"Music Release";Stream;1;RUB;0.021290350854
01/05/2025;01/04/2025;Yandex;Belarus;"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";Стихи;3617224898855;FR-X87-23-72471;;"Music Release";Stream;4;RUB;0.087401033434
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"Немое Солнце";Мишка;Мишка;3617224508761;DG-A06-23-14101;;"Music Release";Stream;-1;RUB;-0.021887245778
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Немое Солнце";Мишка;Мишка;3617224508761;DG-A06-23-14101;;"Music Release";Stream;1;RUB;0.004200000038
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";Пустота;3617224898855;FR-X87-23-72470;;"Music Release";Stream;1;RUB;-0.001306513026
01/06/2025;01/05/2025;Yandex;Kyrgyzstan;"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";"Ямы Skit";3617224898855;FR-X87-23-72468;;"Music Release";Stream;1;RUB;0.020858201942
01/05/2025;01/04/2025;Yandex;Belarus;"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";"17 Ночей В Берлине";3617224898855;FR-X87-23-72466;;"Music Release";Stream;2;RUB;0.043700516681
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";"17 лет Intro";3617224898855;FR-X87-23-72464;;"Music Release";Stream;1;RUB;0.004200000000
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";Пустота;3617224898855;FR-X87-23-72470;;"Music Release";Stream;32;RUB;0.667462462433
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";"Ямы Skit";3617224898855;FR-X87-23-72468;;"Music Release";Stream;2;RUB;0.008400000000
01/06/2025;01/05/2025;Yandex;Belarus;"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";"17 Ночей В Берлине";3617224898855;FR-X87-23-72466;;"Music Release";Stream;1;RUB;0.020858201942
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Немое Солнце";Мишка;Мишка;3617224508761;DG-A06-23-14101;;"Music Release";Stream;2;RUB;0.076721370022
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";Вижу;3617224898855;FR-X87-23-72469;;"Music Release";Stream;1;RUB;0.012941456298
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";"Без Таблеток";3617224898855;FR-X87-23-72467;;"Music Release";Stream;-1;RUB;-0.007295748042
01/05/2025;01/03/2025;Turkcell;Worldwide;"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";"Без Таблеток";3617224898855;FR-X87-23-72467;;"Music Release";Stream;1;RUB;0.023059608719
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";"17 лет Intro";3617224898855;FR-X87-23-72464;;"Music Release";Stream;89;RUB;1.767912823782
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";Горю;3617224898855;FR-X87-23-72472;;"Music Release";Stream;6;RUB;0.127742104899
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Немое Солнце";Мишка;Мишка;3617224508761;DG-A06-23-14101;;"Music Release";Stream;39;RUB;0.813469876171
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";Вижу;3617224898855;FR-X87-23-72469;;"Music Release";Stream;1;RUB;0.050356027747
01/06/2025;01/05/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";Вижу;3617224898855;FR-X87-23-72469;;"Music Release";Stream;1;RUB;0.020858201942
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";Стихи;3617224898855;FR-X87-23-72471;;"Music Release";Stream;1;RUB;0.004200000000
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";Горю;3617224898855;FR-X87-23-72472;;"Music Release";Stream;-1;RUB;-0.021887245778
01/04/2025;01/03/2025;Likee;"Russian Federation";"трэп хаус квэльчиков";"Немое Солнце";Мишка;Мишка;3617224508761;DG-A06-23-14101;;"Music Release";Stream;18;RUB;0.387399459936
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Немое Солнце";Мишка;Мишка;3617224508761;DG-A06-23-14101;;"Music Release";Stream;18;RUB;0.339906078992
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";"17 Ночей В Берлине";3617224898855;FR-X87-23-72466;;"Music Release";Stream;2;RUB;0.008400000000
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";"17 лет Intro";3617224898855;FR-X87-23-72464;;"Music Release";Stream;3;RUB;0.252543380957
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Немое Солнце";"POSITIVE HUMAN AURA";"Без Таблеток";3617224898855;FR-X87-23-72467;;"Music Release";Stream;1;RUB;0.004428425764
