"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;29;RUB;0.602099746877
01/05/2025;01/05/2025;"YouTube UGC";Poland;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;5;RUB;0.092745481506
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.004200000036
01/06/2025;01/06/2025;"YouTube UGC";Colombia;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.001496580569
01/05/2025;01/04/2025;Yandex;Belarus;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.021850258413
01/05/2025;01/03/2025;TikTok;Netherlands;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Creation;3;RUB;0.234382662387
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.004200000000
01/06/2025;01/06/2025;"YouTube UGC";Guatemala;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;2;RUB;0.028447991964
01/06/2025;01/06/2025;"YouTube UGC";"United States";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;93;RUB;2.138304580503
01/04/2025;01/04/2025;"YouTube UGC";Canada;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;4;RUB;0.058530140865
01/05/2025;01/05/2025;"YouTube UGC";Austria;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.021999430566
01/04/2025;01/04/2025;"YouTube UGC";"Saudi Arabia";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.002386175866
01/04/2025;01/04/2025;"YouTube UGC";Poland;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.011255876076
01/06/2025;01/06/2025;"YouTube UGC";Germany;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.009055396786
01/04/2025;01/04/2025;"YouTube UGC";Guatemala;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;5;RUB;0.076422077568
01/04/2025;01/04/2025;"YouTube UGC";"United States";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;50;RUB;1.797778846333
01/06/2025;01/06/2025;"YouTube UGC";Ukraine;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;2;RUB;0.011726693278
01/04/2025;01/04/2025;"YouTube UGC";Belgium;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.017357135131
01/04/2025;01/04/2025;"YouTube UGC";Mexico;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.005162399713
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;-0.002887029833
01/04/2025;01/04/2025;"YouTube UGC";Brazil;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.230185667746
01/05/2025;01/05/2025;"YouTube UGC";"United States";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;100;RUB;2.607673827887
01/04/2025;01/04/2025;"YouTube UGC";Germany;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;3;RUB;0.067512716468
01/05/2025;01/05/2025;"YouTube UGC";"Puerto Rico";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.005786165336
01/05/2025;01/05/2025;"YouTube UGC";France;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;3;RUB;0.041522941020
01/06/2025;01/06/2025;"YouTube UGC";"United Kingdom";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;7;RUB;0.247544173049
01/05/2025;01/05/2025;"YouTube UGC";Guatemala;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;3;RUB;0.057841736210
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;19;RUB;0.079800000038
01/05/2025;01/03/2025;TikTok;"United Kingdom";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Creation;2;RUB;0.156255108258
01/05/2025;01/05/2025;"YouTube UGC";Germany;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.013212852599
01/05/2025;01/05/2025;"YouTube UGC";Canada;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;4;RUB;0.103266632250
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;17;RUB;0.371454392075
01/06/2025;01/06/2025;"YouTube UGC";Japan;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;2;RUB;0.008090210779
01/06/2025;01/06/2025;"YouTube UGC";Poland;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.019856804150
01/04/2025;01/03/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;3;RUB;0.372515071342
01/05/2025;01/05/2025;"YouTube UGC";Philippines;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;2;RUB;0.002837659600
01/05/2025;01/05/2025;"YouTube UGC";Mexico;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;2;RUB;0.027711519694
01/05/2025;01/05/2025;"YouTube UGC";"United Kingdom";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;11;RUB;0.226703761326
01/06/2025;01/06/2025;"YouTube UGC";Finland;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;2;RUB;0.015865922682
01/04/2025;01/04/2025;"YouTube Official Content";"United States";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.135946634349
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;4;RUB;0.083432807841
01/04/2025;01/04/2025;"YouTube UGC";"United Kingdom";thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;9;RUB;0.597197872287
01/06/2025;01/06/2025;"YouTube UGC";Spain;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.009695239190
01/04/2025;01/04/2025;"YouTube UGC";Chile;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;1;RUB;0.006034271650
01/05/2025;01/05/2025;"YouTube UGC";Sweden;thqlabel;Noxero;HOMELESS;HOMELESS;3617390419953;FR-2X4-25-42609;;"Music Release";Stream;2;RUB;0.003225620894
