"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/05/2025;"Facebook / Instagram";Nigeria;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;1;RUB;0.000046121132
01/04/2025;01/03/2025;"Facebook / Instagram";Ukraine;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;7;RUB;0.004338481166
01/04/2025;01/03/2025;"Facebook / Instagram";"Serbia And Montenegro";"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;3;RUB;0.000899029066
01/04/2025;01/03/2025;"Facebook / Instagram";Greece;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;1;RUB;0.001048864694
01/04/2025;01/03/2025;"Facebook / Instagram";Kazakhstan;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;1;RUB;0.000006808441
01/04/2025;01/03/2025;"Facebook / Instagram";Bulgaria;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;1;RUB;0.001103352314
01/04/2025;01/03/2025;"Facebook / Instagram";France;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;2;RUB;0.017585551785
01/04/2025;01/03/2025;"Facebook / Instagram";"United Kingdom";"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;2;RUB;0.008159370969
01/04/2025;01/03/2025;"Facebook / Instagram";Canada;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;4;RUB;0.013730614831
01/04/2025;01/03/2025;"Facebook / Instagram";Indonesia;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;1;RUB;0.000517621432
01/04/2025;01/03/2025;"Facebook / Instagram";Netherlands;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;2;RUB;0.007832445855
01/04/2025;01/03/2025;"Facebook / Instagram";Cyprus;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;1;RUB;0.001668652774
01/04/2025;01/03/2025;"Facebook / Instagram";Israel;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;1;RUB;0.006987904333
01/04/2025;01/03/2025;"Facebook / Instagram";Argentina;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;4;RUB;0.007410182555
01/04/2025;01/03/2025;"Facebook / Instagram";"Czech Republic";"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;2;RUB;0.002356550153
01/04/2025;01/03/2025;"Facebook / Instagram";Brazil;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;1;RUB;0.000585730806
01/04/2025;01/03/2025;"Facebook / Instagram";"United States";"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;4;RUB;0.027243299506
01/04/2025;01/03/2025;"Facebook / Instagram";Germany;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;5;RUB;0.015494625738
01/04/2025;01/03/2025;"Facebook / Instagram";Turkey;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;1;RUB;0.000708327798
01/05/2025;01/04/2025;"Facebook / Instagram";"United States";"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;1;RUB;0.006503455587
01/04/2025;01/03/2025;"Facebook / Instagram";Algeria;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;1;RUB;0.000095353183
01/06/2025;01/05/2025;"Facebook / Instagram";"Serbia And Montenegro";"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;1;RUB;0.000289892495
01/04/2025;01/03/2025;"Facebook / Instagram";Poland;"DARKI MUZIK";PHEONSHY;Oblivion;Oblivion;4631164980103;RU-AEX-23-01024;;"Music Release";Stream;2;RUB;0.002846927850
