"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/06/2025;"Apple Music";Germany;"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;1;RUB;0.311404988558
01/06/2025;01/05/2025;Yandex;Belarus;"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;1;RUB;0.020858201942
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;2;RUB;0.008400000000
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;1;RUB;0.008856851602
01/05/2025;01/04/2025;"UMA VK Clips";"Russian Federation";"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;5;RUB;0.003966088318
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;1;RUB;0.012998207423
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;21;RUB;0.385815659750
01/06/2025;01/05/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;1;RUB;0.020858201942
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;1;RUB;-0.007946464256
01/06/2025;01/05/2025;"UMA VK Clips";"Russian Federation";"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;6;RUB;0.005848740959
01/04/2025;01/03/2025;"UMA VK Clips";"Russian Federation";"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;1;RUB;0.000806380214
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;-1;RUB;-0.029483961005
01/05/2025;01/04/2025;Yandex;Belarus;"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;5;RUB;0.109251291774
01/05/2025;01/04/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;3;RUB;0.065550775094
01/05/2025;01/04/2025;Yandex;Uzbekistan;"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;2;RUB;0.043700516681
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;83;RUB;1.625070182117
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;1;RUB;0.001999128398
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;1;RUB;0.008627637506
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;276;RUB;5.882681294870
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"PUL$AR!, E$Kiev";Бессонница;Бессонница;3617223002611;FR-X87-23-78224;;"Music Release";Stream;1;RUB;0.001957531942
