"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;1;RUB;-0.469156832775
01/04/2025;01/03/2025;Yandex;"Russian Federation";"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;2212;RUB;46.700897809546
01/06/2025;01/05/2025;Yandex;Kyrgyzstan;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;1;RUB;0.020858201942
01/06/2025;01/05/2025;Yandex;Kazakhstan;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;15;RUB;0.312873029274
01/04/2025;01/04/2025;"Apple Music";"Russian Federation";"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;1;RUB;0.099223600019
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;40;RUB;3.180619794377
01/06/2025;01/05/2025;"UMA (Vkontakte)";Kazakhstan;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;2;RUB;0.008400000000
01/05/2025;01/04/2025;Yandex;Kyrgyzstan;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;9;RUB;0.196652325208
01/05/2025;01/04/2025;Yandex;Georgia;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;1;RUB;0.021850258413
01/04/2025;01/03/2025;Yandex;Kazakhstan;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;14;RUB;0.298064911431
01/04/2025;01/03/2025;Yandex;Georgia;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;1;RUB;0.021290350854
01/04/2025;01/03/2025;Yandex;Belarus;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;46;RUB;0.964035710720
01/04/2025;01/03/2025;Yandex;Uzbekistan;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;7;RUB;0.149032455753
01/06/2025;01/05/2025;Yandex;Uzbekistan;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;18;RUB;0.375447635173
01/05/2025;01/04/2025;"UMA (Vkontakte)";Belarus;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;1;RUB;0.004200000000
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;38;RUB;1.725437431538
01/04/2025;01/03/2025;Yandex;Armenia;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;1;RUB;0.021290350854
01/05/2025;01/04/2025;Yandex;Uzbekistan;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;12;RUB;0.262203100302
01/05/2025;01/04/2025;"UMA (Vkontakte)";Kazakhstan;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;2;RUB;0.008400000000
01/04/2025;01/03/2025;Yandex;Azerbaijan;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;2;RUB;0.042580701633
01/06/2025;01/05/2025;Yandex;"Russian Federation";"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;999;RUB;20.660409450174
01/06/2025;01/05/2025;Yandex;Belarus;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;15;RUB;0.312873029274
01/05/2025;01/04/2025;Yandex;Belarus;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;35;RUB;0.746959518731
01/06/2025;01/05/2025;"UMA VK MUSIC";"Russian Federation";"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;1;RUB;0.056101333571
01/05/2025;01/04/2025;Yandex;"Russian Federation";"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;1295;RUB;27.883898617036
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;34;RUB;2.280571790806
01/05/2025;01/04/2025;Yandex;Kazakhstan;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;12;RUB;0.262203100302
01/04/2025;01/11/2024;Yandex;Worldwide;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;-1;RUB;-33.857621459934
01/04/2025;01/04/2025;"YouTube Official Content";Netherlands;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;1;RUB;0.074297256885
01/04/2025;01/03/2025;"UMA (Vkontakte)";Belarus;"Million dollar music";"SEMPAI, Ecsta";Желание;Желание;3617664308631;DG-A0P-24-02894;;"Music Release";Stream;1;RUB;0.004200000038
