"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;SOBERBO1;Мира;Мира;3617665484372;DG-A0Q-24-61098;;"Music Release";Stream;2;RUB;0.008400000000
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;SOBERBO1;Мира;Мира;3617665484372;DG-A0Q-24-61098;;"Music Release";Stream;101;RUB;2.119684578676
01/05/2025;01/12/2024;"Facebook / Instagram";Worldwide;thqlabel;SOBERBO1;Мира;Мира;3617665484372;DG-A0Q-24-61098;;"Music Release";Creation;6;RUB;0.140418716205
01/04/2025;01/11/2024;Yandex;Worldwide;thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Stream;-1;RUB;-0.087774708781
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Stream;136;RUB;2.864846857217
01/04/2025;01/03/2025;Yandex;Belarus;thqlabel;SOBERBO1;Мира;Мира;3617665484372;DG-A0Q-24-61098;;"Music Release";Stream;8;RUB;0.170322806532
01/04/2025;01/03/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Stream;6;RUB;0.631263908011
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Stream;35;RUB;0.730037068331
01/04/2025;01/03/2025;Yandex;Belarus;thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Stream;7;RUB;0.149032455753
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;SOBERBO1;Мира;Мира;3617665484372;DG-A0Q-24-61098;;"Music Release";Stream;6;RUB;0.145171690460
01/05/2025;01/04/2025;Yandex;Belarus;thqlabel;SOBERBO1;Мира;Мира;3617665484372;DG-A0Q-24-61098;;"Music Release";Stream;6;RUB;0.131101550187
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Moldova, Republic Of";thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Stream;1;RUB;0.004200000036
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Stream;78;RUB;1.650921580644
01/04/2025;01/11/2024;Yandex;Worldwide;thqlabel;SOBERBO1;Мира;Мира;3617665484372;DG-A0Q-24-61098;;"Music Release";Stream;-1;RUB;-0.116807220321
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Stream;35;RUB;2.331935606722
01/06/2025;01/05/2025;Yandex;Belarus;thqlabel;SOBERBO1;Мира;Мира;3617665484372;DG-A0Q-24-61098;;"Music Release";Stream;4;RUB;0.083432807841
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Moldova, Republic Of";thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Stream;1;RUB;0.004200000000
01/05/2025;01/04/2025;"UMA (Vkontakte)";Belarus;thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Stream;1;RUB;0.064042510101
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Stream;1;RUB;0.124022873985
01/04/2025;01/03/2025;Yandex;Kazakhstan;thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Stream;1;RUB;0.021290350854
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Stream;71;RUB;5.901391313652
01/06/2025;01/05/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Stream;3;RUB;0.315263729053
01/04/2025;01/04/2025;"Apple Music";Turkey;thqlabel;SOBERBO1;Мира;Мира;3617665484372;DG-A0Q-24-61098;;"Music Release";Stream;2;RUB;0.056570487698
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;SOBERBO1;Мира;Мира;3617665484372;DG-A0Q-24-61098;;"Music Release";Stream;1;RUB;-0.036441813071
01/05/2025;01/04/2025;Yandex;Belarus;thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Stream;3;RUB;0.065550775094
01/04/2025;01/02/2025;TikTok;France;thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Creation;1;RUB;0.094602758506
01/04/2025;01/03/2025;Yandex;Kazakhstan;thqlabel;SOBERBO1;Мира;Мира;3617665484372;DG-A0Q-24-61098;;"Music Release";Stream;1;RUB;0.021290350854
01/05/2025;01/02/2025;"Facebook / Instagram";Worldwide;thqlabel;SOBERBO1;PASIFISM;PASIFISM;3617666356821;DG-A0R-24-74463;;"Music Release";Creation;6;RUB;0.162479284618
