"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;471;RUB;9.953280734545
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;1;RUB;0.004332735308
01/06/2025;01/05/2025;Yandex;Uzbekistan;"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;3;RUB;0.062574605898
01/06/2025;01/04/2024;Wynk;India;"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;1;RUB;0.022294517566
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;1;RUB;0.000111626148
01/05/2025;01/04/2025;Yandex;Belarus;"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;12;RUB;0.262203100302
01/06/2025;01/05/2025;Yandex;Belarus;"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;6;RUB;0.125149211724
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;290;RUB;5.854250836210
01/06/2025;01/06/2025;"Apple Music";"United States";"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;1;RUB;0.409640429874
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;1;RUB;-0.005808158949
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;1;RUB;0.000109303527
01/05/2025;01/04/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;10;RUB;0.200703059716
01/06/2025;01/05/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;2;RUB;0.024022973870
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;1;RUB;0.017713702305
01/04/2025;01/04/2025;"Apple Music";"United States";"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;2;RUB;0.766054231402
01/05/2025;01/04/2025;Yandex;Uzbekistan;"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;1;RUB;0.021850258413
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"SXNDERMXDE, Enument";"FORGIVE ME";"FOREVER WITH YOU";3617057378173;FR-96X-23-65248;;"Music Release";Stream;1;RUB;0.002007747292
