"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Scruffy Devil, shudloger";"визаут лав";HAT3;3617053899948;DG-A07-22-82193;;"Music Release";Stream;1;RUB;0.141031120882
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Scruffy Devil, shudloger";"визаут лав";HAT3;3617053899948;DG-A07-22-82193;;"Music Release";Stream;1;RUB;0.004428425764
01/05/2025;01/05/2025;"YouTube Official Content";"United States";"трэп хаус квэльчиков";"Scruffy Devil, shudloger";Лёд;"Лёд Remix";3617054048277;DG-A08-22-01022;;"Music Release";Stream;1;RUB;0.293275446348
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Scruffy Devil, shudloger";"визаут лав";"Не хочу";3617053899948;DG-A07-22-82196;;"Music Release";Stream;4;RUB;0.016800000000
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"Scruffy Devil, shudloger";"визаут лав";"let it go";3617053899948;DG-A07-22-82194;;"Music Release";Stream;-1;RUB;-0.003647874884
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Scruffy Devil, shudloger";Лёд;"Лёд Remix";3617054048277;DG-A08-22-01022;;"Music Release";Stream;1;RUB;0.025882912595
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Scruffy Devil, shudloger";"визаут лав";"let it go";3617053899948;DG-A07-22-82194;;"Music Release";Stream;1;RUB;0.002708807467
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Scruffy Devil, shudloger";"визаут лав";Лёд;3617053899948;DG-A07-22-82195;;"Music Release";Stream;2;RUB;0.043700516681
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Scruffy Devil, shudloger";"визаут лав";"Не хочу";3617053899948;DG-A07-22-82196;;"Music Release";Stream;1;RUB;0.004461714787
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Scruffy Devil, shudloger";"визаут лав";"Не хочу";3617053899948;DG-A07-22-82196;;"Music Release";Stream;21;RUB;0.420328810985
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Scruffy Devil, shudloger";"визаут лав";HAT3;3617053899948;DG-A07-22-82193;;"Music Release";Stream;1;RUB;0.004332735308
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Scruffy Devil, shudloger";"визаут лав";"Не хочу";3617053899948;DG-A07-22-82196;;"Music Release";Stream;81;RUB;1.769870927162
