"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;1;RUB;0.008627637506
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;1;RUB;0.003915781159
01/05/2025;01/04/2025;Yandex;Belarus;"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;1;RUB;0.021850258413
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;3;RUB;0.131155048728
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;1;RUB;0.000599565948
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;7;RUB;0.146007413666
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;4;RUB;0.016800000000
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;1;RUB;0.003834304128
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;4;RUB;0.518324791036
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;1;RUB;0.022142129118
01/05/2025;01/04/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;1;RUB;0.021850258413
01/06/2025;01/06/2025;"Apple Music";Ukraine;"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;2;RUB;0.172857220776
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;1;RUB;0.012998207423
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;2;RUB;0.042580701633
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;1;RUB;-0.090130737321
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;-1;RUB;-0.029258235410
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Слимак, Diabllic, hpbloo";Ненависть;Ненависть;3616848897633;FR-X28-22-23011;;"Music Release";Stream;6;RUB;0.504491496086
