"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/05/2025;"Apple Music";Turkey;"трэп хаус квэльчиков";Тiшайший;Аквамарины;Аквамарины;3617221283739;FR-X87-23-04622;;"Music Release";Stream;1;RUB;0.011187071112
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Тiшайший;Аквамарины;Аквамарины;3617221283739;FR-X87-23-04622;;"Music Release";Stream;2;RUB;0.008400000000
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";Тiшайший;Аквамарины;Аквамарины;3617221283739;FR-X87-23-04622;;"Music Release";Stream;4;RUB;0.087401033434
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Тiшайший;Аквамарины;Аквамарины;3617221283739;FR-X87-23-04622;;"Music Release";Stream;1;RUB;0.124022873985
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";Тiшайший;Аквамарины;Аквамарины;3617221283739;FR-X87-23-04622;;"Music Release";Stream;1;RUB;-0.068383409714
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";Тiшайший;Аквамарины;Аквамарины;3617221283739;FR-X87-23-04622;;"Music Release";Stream;1;RUB;0.004332735308
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";Тiшайший;Аквамарины;Аквамарины;3617221283739;FR-X87-23-04622;;"Music Release";Stream;1;RUB;0.020858201942
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Тiшайший;Аквамарины;Аквамарины;3617221283739;FR-X87-23-04622;;"Music Release";Stream;-1;RUB;-0.003647874884
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";Тiшайший;Аквамарины;Аквамарины;3617221283739;FR-X87-23-04622;;"Music Release";Stream;1;RUB;0.001996570352
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";Тiшайший;Аквамарины;Аквамарины;3617221283739;FR-X87-23-04622;;"Music Release";Stream;2;RUB;0.042580701633
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";Тiшайший;Аквамарины;Аквамарины;3617221283739;FR-X87-23-04622;;"Music Release";Stream;1;RUB;0.002038996441
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";Тiшайший;Аквамарины;Аквамарины;3617221283739;FR-X87-23-04622;;"Music Release";Stream;1;RUB;0.004428425764
