"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/04/2025;Yandex;"Russian Federation";"Stars Clique";"YELLOW.Eyes, МОЛОДОЙ ПАКЕТ";"Злее чем обычно";"Злее чем обычно";3617669385545;FR-10S-25-80774;;"Music Release";Stream;33;RUB;0.614261382818
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"YELLOW.Eyes, МОЛОДОЙ ПАКЕТ";"Злее чем обычно";"Злее чем обычно";3617669385545;FR-10S-25-80774;;"Music Release";Stream;2;RUB;0.133781197814
01/04/2025;01/03/2025;Yandex;Belarus;"Stars Clique";"YELLOW.Eyes, МОЛОДОЙ ПАКЕТ";"Злее чем обычно";"Злее чем обычно";3617669385545;FR-10S-25-80774;;"Music Release";Stream;1;RUB;0.021290350854
01/04/2025;01/04/2025;"YouTube Official Content";Netherlands;"Stars Clique";"YELLOW.Eyes, МОЛОДОЙ ПАКЕТ";"Злее чем обычно";"Злее чем обычно";3617669385545;FR-10S-25-80774;;"Music Release";Stream;1;RUB;0.148305419290
01/06/2025;01/05/2025;Yandex;"Russian Federation";"Stars Clique";"YELLOW.Eyes, МОЛОДОЙ ПАКЕТ";"Злее чем обычно";"Злее чем обычно";3617669385545;FR-10S-25-80774;;"Music Release";Stream;17;RUB;0.301509143190
01/05/2025;01/01/2025;"Facebook / Instagram";Worldwide;"Stars Clique";"YELLOW.Eyes, МОЛОДОЙ ПАКЕТ";"Злее чем обычно";"Злее чем обычно";3617669385545;FR-10S-25-80774;;"Music Release";Creation;12;RUB;0.306922190737
01/05/2025;01/05/2025;"Apple Music";"United States";"Stars Clique";"YELLOW.Eyes, МОЛОДОЙ ПАКЕТ";"Злее чем обычно";"Злее чем обычно";3617669385545;FR-10S-25-80774;;"Music Release";Stream;11;RUB;2.061924555546
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"YELLOW.Eyes, МОЛОДОЙ ПАКЕТ";"Злее чем обычно";"Злее чем обычно";3617669385545;FR-10S-25-80774;;"Music Release";Stream;5;RUB;0.140822873985
01/04/2025;01/04/2025;"Apple Music";"United States";"Stars Clique";"YELLOW.Eyes, МОЛОДОЙ ПАКЕТ";"Злее чем обычно";"Злее чем обычно";3617669385545;FR-10S-25-80774;;"Music Release";Stream;16;RUB;3.032656472152
01/06/2025;01/06/2025;"Apple Music";"United States";"Stars Clique";"YELLOW.Eyes, МОЛОДОЙ ПАКЕТ";"Злее чем обычно";"Злее чем обычно";3617669385545;FR-10S-25-80774;;"Music Release";Stream;8;RUB;1.460057773487
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"YELLOW.Eyes, МОЛОДОЙ ПАКЕТ";"Злее чем обычно";"Злее чем обычно";3617669385545;FR-10S-25-80774;;"Music Release";Stream;1;RUB;-0.008127862321
01/04/2025;01/03/2025;Yandex;"Russian Federation";"Stars Clique";"YELLOW.Eyes, МОЛОДОЙ ПАКЕТ";"Злее чем обычно";"Злее чем обычно";3617669385545;FR-10S-25-80774;;"Music Release";Stream;75;RUB;1.617069640935
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"YELLOW.Eyes, МОЛОДОЙ ПАКЕТ";"Злее чем обычно";"Злее чем обычно";3617669385545;FR-10S-25-80774;;"Music Release";Stream;2;RUB;0.008400000000
