"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/06/2025;"YouTube Official Content";Canada;"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;1;RUB;0.207357740749
01/05/2025;01/05/2025;"YouTube Official Content";"United States";"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;1;RUB;0.152608447226
01/06/2025;01/05/2025;Yandex;"Russian Federation";"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;27;RUB;0.563171452723
01/06/2025;01/06/2025;"YouTube Official Content";"United Kingdom";"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;5;RUB;2.535825110940
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;5;RUB;0.337601190053
01/04/2025;01/04/2025;"YouTube Official Content";"United Kingdom";"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;5;RUB;2.502467966682
01/04/2025;01/03/2025;Yandex;"Russian Federation";"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;354;RUB;7.536784188897
01/05/2025;01/04/2025;Yandex;"Russian Federation";"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;56;RUB;1.223614468146
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;2;RUB;0.128222873985
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;1;RUB;0.124022873985
01/05/2025;01/05/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;1;RUB;0.101712239957
01/05/2025;01/05/2025;"YouTube Official Content";Ukraine;"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;1;RUB;0.051513498177
01/05/2025;01/05/2025;"YouTube Official Content";"United Kingdom";"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;5;RUB;2.372779827239
01/04/2025;01/04/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;1;RUB;0.099223600019
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;1;RUB;-0.005575409270
01/04/2025;01/03/2025;Yandex;Belarus;"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;1;RUB;0.021290350854
01/05/2025;01/04/2025;Yandex;Kazakhstan;"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;2;RUB;0.043700516681
01/06/2025;01/06/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";"Yaggi, ILUV";"Я Здесь (Выдох)";"Я Здесь (Выдох)";3617391009917;FR-2X4-25-93978;;"Music Release";Stream;1;RUB;0.037033920032
