"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/06/2025;"YouTube Official Content";"United States";thqlabel;Yukisoru;'karoshi;забудь;3617397117753;FR-X45-25-13997;;"Music Release";Stream;1;RUB;0.005010291396
01/05/2025;01/04/2025;Yandex;Uzbekistan;thqlabel;Yukisoru;"Придуманный Замок";"Придуманный Замок";3617390427040;FR-2X4-25-43411;;"Music Release";Stream;2;RUB;0.043700516681
01/04/2025;01/04/2025;"YouTube UGC";"Korea, Republic Of";thqlabel;Yukisoru;"Придуманный Замок";"Придуманный Замок";3617390427040;FR-2X4-25-43411;;"Music Release";Stream;1;RUB;0.001355673716
01/06/2025;01/06/2025;"YouTube UGC";"Russian Federation";thqlabel;Yukisoru;'karoshi;КЧП;3617397117753;FR-X45-25-14000;;"Music Release";Stream;1;RUB;0.002411550810
01/06/2025;01/06/2025;"Apple Music";"Russian Federation";thqlabel;Yukisoru;'karoshi;"где я был";3617397117753;FR-X45-25-13998;;"Music Release";Stream;2;RUB;0.180810559963
01/06/2025;01/06/2025;"YouTube UGC";Ukraine;thqlabel;Yukisoru;'karoshi;"под ночным небом";3617397117753;FR-X45-25-13999;;"Music Release";Stream;1;RUB;0.000601369403
01/04/2025;01/03/2025;Yandex;Kazakhstan;thqlabel;Yukisoru;"Придуманный Замок";"Придуманный Замок";3617390427040;FR-2X4-25-43411;;"Music Release";Stream;3;RUB;0.048550625647
01/06/2025;01/06/2025;"Apple Music";"Russian Federation";thqlabel;Yukisoru;"Придуманный Замок";"Придуманный Замок";3617390427040;FR-2X4-25-43411;;"Music Release";Stream;2;RUB;0.166526080004
01/06/2025;01/05/2025;Yandex;Uzbekistan;thqlabel;Yukisoru;"Придуманный Замок";"Придуманный Замок";3617390427040;FR-2X4-25-43411;;"Music Release";Stream;8;RUB;0.166865615608
01/04/2025;01/03/2025;NetEase;"China Mainland";thqlabel;Yukisoru;"Придуманный Замок";"Придуманный Замок";3617390427040;FR-2X4-25-43411;;"Music Release";Stream;38;RUB;1.066418290935
