"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";Yuppe;"Fuck Opi*m";"Fuck Opi*m";3617222676912;FR-X87-23-39111;;"Music Release";Stream;1;RUB;0.009812502997
01/05/2025;01/04/2025;"Amazon Music Streaming";"United States";thqlabel;Yuppe;виайпи;виайпи;3617391088790;FR-59R-25-00540;;"Music Release";Stream;3;RUB;0.348880115709
01/06/2025;01/05/2025;"Amazon Music Streaming";"United States";thqlabel;Yuppe;виайпи;виайпи;3617391088790;FR-59R-25-00540;;"Music Release";Stream;8;RUB;0.876506629203
01/05/2025;01/04/2025;NetEase;"China Mainland";thqlabel;Yuppe;виайпи;виайпи;3617391088790;FR-59R-25-00540;;"Music Release";Stream;1;RUB;0.030713948550
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";Yuppe;А-А;А-А;3617057114030;FR-96X-23-31682;;"Music Release";Stream;1;RUB;0.001656466739
01/06/2025;01/04/2025;Deezer;Kenya;"трэп хаус квэльчиков";Yuppe;"Fuck Opi*m";"Fuck Opi*m";3617222676912;FR-X87-23-39111;;"Music Release";Stream;1;RUB;0.565917275752
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;Yuppe;виайпи;виайпи;3617391088790;FR-59R-25-00540;;"Music Release";Stream;4;RUB;0.083432807841
01/04/2025;01/02/2025;Deezer;"South Africa";"трэп хаус квэльчиков";Yuppe;"Fuck Opi*m";"Fuck Opi*m";3617222676912;FR-X87-23-39111;;"Music Release";Stream;1;RUB;0.140567790866
01/05/2025;01/04/2025;Yandex;Belarus;"трэп хаус квэльчиков";Yuppe;"Fuck Opi*m";"Fuck Opi*m";3617222676912;FR-X87-23-39111;;"Music Release";Stream;1;RUB;0.021850258413
01/06/2025;01/02/2025;Deezer;France;"трэп хаус квэльчиков";Yuppe;"Fuck Opi*m";"Fuck Opi*m";3617222676912;FR-X87-23-39111;;"Music Release";Stream;1;RUB;-0.029755894448
