"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/04/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;"Yuppe, Xtaozii";"Не верю";"Не верю";5063316781174;RU-A1D-24-05517;;"Music Release";Stream;2;RUB;0.067876217543
01/05/2025;01/04/2025;"UMA (Vkontakte)";Belarus;thqlabel;"Yuppe, Xtaozii";"Не верю";"Не верю";5063316781174;RU-A1D-24-05517;;"Music Release";Stream;2;RUB;0.008400000000
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;"Yuppe, Xtaozii";"Не верю";"Не верю";5063316781174;RU-A1D-24-05517;;"Music Release";Stream;15;RUB;0.327753875395
01/04/2025;01/03/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"Yuppe, Xtaozii";"Не верю";"Не верю";5063316781174;RU-A1D-24-05517;;"Music Release";Stream;6;RUB;0.734182430587
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;"Yuppe, Xtaozii";"Не верю";"Не верю";5063316781174;RU-A1D-24-05517;;"Music Release";Stream;26;RUB;0.553549121230
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"Yuppe, Xtaozii";"Не верю";"Не верю";5063316781174;RU-A1D-24-05517;;"Music Release";Stream;79;RUB;2.900724836392
01/04/2025;01/03/2025;Yandex;Belarus;thqlabel;"Yuppe, Xtaozii";"Не верю";"Не верю";5063316781174;RU-A1D-24-05517;;"Music Release";Stream;1;RUB;0.021290350854
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"Yuppe, Xtaozii";"Не верю";"Не верю";5063316781174;RU-A1D-24-05517;;"Music Release";Stream;28;RUB;0.619837538605
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"Yuppe, Xtaozii";"Не верю";"Не верю";5063316781174;RU-A1D-24-05517;;"Music Release";Stream;47;RUB;1.769908208523
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;"Yuppe, Xtaozii";"Не верю";"Не верю";5063316781174;RU-A1D-24-05517;;"Music Release";Stream;6;RUB;0.125149211724
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"Yuppe, Xtaozii";"Не верю";"Не верю";5063316781174;RU-A1D-24-05517;;"Music Release";Stream;1;RUB;-0.060447181131
