"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/03/2025;NetEase;"China Mainland";thqlabel;akiraku;"let me sleep";"let me sleep";3617667345800;DG-A0S-24-70680;;"Music Release";Stream;1;RUB;0.055650097899
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;akiraku;"let me sleep";"let me sleep";3617667345800;DG-A0S-24-70680;;"Music Release";Stream;5;RUB;0.397143593259
01/06/2025;01/05/2025;Yandex;Kazakhstan;thqlabel;akiraku;"let me sleep";"let me sleep";3617667345800;DG-A0S-24-70680;;"Music Release";Stream;1;RUB;0.020858201942
01/04/2025;01/03/2025;"UMA (Vkontakte)";Belarus;thqlabel;akiraku;"let me sleep";"let me sleep";3617667345800;DG-A0S-24-70680;;"Music Release";Stream;2;RUB;0.008400000000
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;akiraku;"let me sleep";"let me sleep";3617667345800;DG-A0S-24-70680;;"Music Release";Stream;2;RUB;0.128222873985
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;akiraku;"let me sleep";"let me sleep";3617667345800;DG-A0S-24-70680;;"Music Release";Stream;4;RUB;0.256743380919
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;akiraku;"let me sleep";"let me sleep";3617667345800;DG-A0S-24-70680;;"Music Release";Stream;16;RUB;0.340645613064
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;akiraku;"let me sleep";"let me sleep";3617667345800;DG-A0S-24-70680;;"Music Release";Stream;12;RUB;0.250298423376
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;akiraku;"let me sleep";"let me sleep";3617667345800;DG-A0S-24-70680;;"Music Release";Stream;23;RUB;0.502555942262
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;akiraku;"let me sleep";"let me sleep";3617667345800;DG-A0S-24-70680;;"Music Release";Stream;1;RUB;-0.035514101212
