"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;-0.207304409842
01/04/2025;01/03/2025;Yandex;Kazakhstan;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;10;RUB;0.212903508165
01/05/2025;01/04/2025;Yango;Jordan;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.324570627325
01/06/2025;01/06/2025;"Apple Music";"Russian Federation";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;6;RUB;0.550296320046
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;761;RUB;16.156868259528
01/04/2025;01/03/2025;Spotify;Ukraine;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;74;RUB;1.274408047682
01/05/2025;01/04/2025;Spotify;Uzbekistan;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;4;RUB;0.000825794894
01/05/2025;01/04/2025;Spotify;India;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;4;RUB;0.136353313611
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;119;RUB;3.788554979075
01/06/2025;01/05/2025;Spotify;"Czech Republic";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;3;RUB;0.198528566076
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;36;RUB;0.830007322385
01/05/2025;01/04/2025;Spotify;Belarus;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.093411977937
01/06/2025;01/05/2025;Spotify;Ireland;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;2;RUB;0.078567037039
01/04/2025;01/03/2025;Spotify;Australia;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.224148655398
01/05/2025;01/04/2025;Spotify;Estonia;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;2;RUB;0.229328105930
01/06/2025;01/05/2025;Spotify;Japan;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;3;RUB;0.373035709410
01/05/2025;01/04/2025;Yandex;Kazakhstan;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;4;RUB;0.087401033434
01/06/2025;01/05/2025;Spotify;Spain;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.019168610042
01/05/2025;01/04/2025;Spotify;"United Kingdom";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.066452202723
01/05/2025;01/04/2025;Spotify;Egypt;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.027639841666
01/05/2025;01/04/2025;Spotify;Ukraine;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;38;RUB;0.309916032906
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;821;RUB;16.530161054541
01/06/2025;01/06/2025;"YouTube Official Content";Ukraine;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.038662722446
01/04/2025;01/03/2025;Yandex;Belarus;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;20;RUB;0.410486589566
01/04/2025;01/03/2025;Spotify;France;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;6;RUB;0.208452250882
01/04/2025;01/03/2025;Spotify;Latvia;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.002549416024
01/06/2025;01/05/2025;Spotify;Latvia;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.079683183930
01/04/2025;01/04/2025;"Apple Music";"Russian Federation";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;4;RUB;0.396894400002
01/04/2025;01/03/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;5;RUB;0.620858452261
01/06/2025;01/05/2025;Spotify;Estonia;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;2;RUB;0.465530318730
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;70;RUB;1.781024855820
01/05/2025;01/04/2025;Spotify;Nigeria;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;11;RUB;0.152383440432
01/04/2025;01/03/2025;Spotify;"United Kingdom";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;5;RUB;0.964928968583
01/04/2025;01/03/2025;Spotify;"United States";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;11;RUB;1.277257424996
01/05/2025;01/04/2025;Yandex;Kyrgyzstan;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;3;RUB;0.065550775094
01/04/2025;01/03/2025;Spotify;Egypt;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;5;RUB;0.211901460797
01/06/2025;01/05/2025;Spotify;"United States";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;6;RUB;0.967844957512
01/05/2025;01/04/2025;Spotify;Netherlands;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;13;RUB;0.504997874768
01/04/2025;01/03/2025;Yandex;Kyrgyzstan;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;10;RUB;0.212903508165
01/05/2025;01/04/2025;Yandex;"Moldova, Republic Of";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;11;RUB;0.240352841961
01/06/2025;01/05/2025;Spotify;India;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;7;RUB;0.299952360423
01/06/2025;01/05/2025;Spotify;Ukraine;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;24;RUB;0.150776889498
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1152;RUB;23.719072701284
01/04/2025;01/03/2025;Spotify;Netherlands;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;13;RUB;0.564620695147
01/06/2025;01/05/2025;Spotify;Norway;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.017518653709
01/04/2025;01/03/2025;Spotify;Nigeria;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;12;RUB;0.167411631898
01/05/2025;01/04/2025;Spotify;Romania;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.084085352973
01/06/2025;01/05/2025;Yandex;Belarus;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;7;RUB;0.146007413666
01/05/2025;01/04/2025;Yandex;Belarus;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;6;RUB;0.131101550187
01/05/2025;01/04/2025;Spotify;"Moldova, Republic Of";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;2;RUB;0.072718528798
01/05/2025;01/04/2025;Spotify;France;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;7;RUB;0.194256105260
01/05/2025;01/04/2025;Spotify;Finland;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.012629804614
01/04/2025;01/04/2025;"YouTube Official Content";Thailand;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.010335124261
01/04/2025;01/03/2025;Spotify;Turkey;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;8;RUB;0.174659991470
01/06/2025;01/06/2025;"Apple Music";Japan;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;7;RUB;0.832321384798
01/04/2025;01/03/2025;Spotify;Malta;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;2;RUB;0.413255337699
01/06/2025;01/05/2025;Spotify;Uzbekistan;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;9;RUB;0.013345254195
01/05/2025;01/04/2025;Spotify;"Korea, Republic Of";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.153597854512
01/06/2025;01/05/2025;Spotify;Belarus;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;2;RUB;0.076722968174
01/04/2025;01/03/2025;Yandex;"Moldova, Republic Of";thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.021290350854
01/06/2025;01/05/2025;Spotify;Germany;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;15;RUB;0.964253900397
01/04/2025;01/03/2025;Spotify;India;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;2;RUB;0.083480877486
01/04/2025;01/03/2025;Spotify;Japan;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;10;RUB;0.898444197876
01/04/2025;01/04/2025;"YouTube Official Content";Belarus;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.007805548391
01/05/2025;01/12/2024;"Facebook / Instagram";Kazakhstan;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Creation;6;RUB;0.041475074886
01/05/2025;01/04/2025;Spotify;Malta;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;4;RUB;0.762791622141
01/06/2025;01/05/2025;Spotify;Canada;thqlabel;"athysue, tarab";"made it lovely & fairly sadistic";"PARIS 2007";3617667208471;DG-A0S-24-57100;;"Music Release";Stream;1;RUB;0.055273536199
