"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/06/2025;"Apple Music";Turkey;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"tired of you";3617390444078;FR-2X4-25-44930;;"Music Release";Stream;1;RUB;0.062291783782
01/06/2025;01/05/2025;Spotify;Hungary;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"u know what pain is";3617390444078;FR-2X4-25-44931;;"Music Release";Stream;1;RUB;0.006211600200
01/06/2025;01/06/2025;"Apple Music";Kazakhstan;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"tired of you";3617390444078;FR-2X4-25-44930;;"Music Release";Stream;6;RUB;0.262573385683
01/06/2025;01/05/2025;Spotify;Kazakhstan;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"tired of you";3617390444078;FR-2X4-25-44930;;"Music Release";Stream;43;RUB;0.267729761906
01/04/2025;01/04/2025;"Apple Music";Kazakhstan;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"u know what pain is";3617390444078;FR-2X4-25-44931;;"Music Release";Stream;2;RUB;0.117921545996
01/06/2025;01/05/2025;Spotify;Nigeria;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"u know what pain is";3617390444078;FR-2X4-25-44931;;"Music Release";Stream;44;RUB;0.602961973396
01/06/2025;01/05/2025;Spotify;Germany;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"u know what pain is";3617390444078;FR-2X4-25-44931;;"Music Release";Stream;43;RUB;3.538137101906
01/05/2025;01/04/2025;Yandex;Kazakhstan;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"tired of you";3617390444078;FR-2X4-25-44930;;"Music Release";Stream;2;RUB;0.043700516681
01/06/2025;01/05/2025;Spotify;"United States";thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"u know what pain is";3617390444078;FR-2X4-25-44931;;"Music Release";Stream;39;RUB;5.387980838548
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"u know what pain is";3617390444078;FR-2X4-25-44931;;"Music Release";Stream;1;RUB;-0.168911202008
01/04/2025;01/03/2025;Yandex;Belarus;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"u know what pain is";3617390444078;FR-2X4-25-44931;;"Music Release";Stream;7;RUB;0.118391601998
01/05/2025;01/03/2025;"Facebook / Instagram";Worldwide;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"tired of you";3617390444078;FR-2X4-25-44930;;"Music Release";Creation;6;RUB;0.143382672442
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"tired of you";3617390444078;FR-2X4-25-44930;;"Music Release";Stream;1052;RUB;20.704763518032
01/05/2025;01/05/2025;"Apple Music";Japan;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"u know what pain is";3617390444078;FR-2X4-25-44931;;"Music Release";Stream;1;RUB;0.257539740676
01/04/2025;01/04/2025;"Apple Music";"Russian Federation";thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"tired of you";3617390444078;FR-2X4-25-44930;;"Music Release";Stream;40;RUB;3.968944000015
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"tired of you";3617390444078;FR-2X4-25-44930;;"Music Release";Stream;6;RUB;0.744137244128
01/06/2025;01/05/2025;Spotify;Denmark;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"tired of you";3617390444078;FR-2X4-25-44930;;"Music Release";Stream;7;RUB;0.061533679108
01/06/2025;01/05/2025;Spotify;Switzerland;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"u know what pain is";3617390444078;FR-2X4-25-44931;;"Music Release";Stream;7;RUB;0.239826001843
01/04/2025;01/04/2025;"Apple Music";Kazakhstan;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"tired of you";3617390444078;FR-2X4-25-44930;;"Music Release";Stream;4;RUB;0.235843091917
01/05/2025;01/03/2025;TikTok;"United States";thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"u know what pain is";3617390444078;FR-2X4-25-44931;;"Music Release";Creation;1;RUB;0.078127554129
01/06/2025;01/05/2025;Spotify;Poland;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"u know what pain is";3617390444078;FR-2X4-25-44931;;"Music Release";Stream;13;RUB;0.283743956383
01/06/2025;01/05/2025;Spotify;Turkey;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"u know what pain is";3617390444078;FR-2X4-25-44931;;"Music Release";Stream;4;RUB;0.026544885284
01/06/2025;01/05/2025;"UMA (Vkontakte)";Belarus;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"tired of you";3617390444078;FR-2X4-25-44930;;"Music Release";Stream;1;RUB;0.004200000036
01/06/2025;01/05/2025;Spotify;Germany;thqlabel;"breakfall, angelgrind";"tired of you/what pain is";"tired of you";3617390444078;FR-2X4-25-44930;;"Music Release";Stream;29;RUB;2.139071235420
