"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/04/2025;"YouTube Official Content";Ukraine;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;111;RUB;4.795070907246
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;281;RUB;11.311443286178
01/05/2025;01/04/2025;"Facebook / Instagram";Kyrgyzstan;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;7;RUB;0.000136557310
01/05/2025;01/04/2025;"Facebook / Instagram";Turkey;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;0.000676360066
01/06/2025;01/05/2025;Spotify;India;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;28;RUB;0.830801469747
01/05/2025;01/04/2025;Yandex;Israel;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;0.021850258413
01/05/2025;01/04/2025;Spotify;Poland;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;0.004177550741
01/05/2025;01/04/2025;"Facebook / Instagram";Morocco;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;0.000156084930
01/05/2025;01/04/2025;Yandex;Azerbaijan;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;8;RUB;0.174802066867
01/04/2025;01/03/2025;Spotify;India;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;57;RUB;1.838828808701
01/05/2025;01/04/2025;"Facebook / Instagram";Belgium;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;2;RUB;0.013891386060
01/06/2025;01/05/2025;Spotify;"United States";thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;19;RUB;2.953276202286
01/06/2025;01/05/2025;Yandex;Uzbekistan;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;20;RUB;0.399470609043
01/04/2025;01/03/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;2;RUB;0.075254386692
01/05/2025;01/04/2025;"Facebook / Instagram";Uzbekistan;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;7;RUB;0.000136557310
01/05/2025;01/05/2025;"YouTube Official Content";Italy;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;0.071578855302
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;11;RUB;1.381713584594
01/06/2025;01/05/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;2;RUB;0.076297276607
01/05/2025;01/04/2025;"Facebook / Instagram";Tunisia;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;0.000273143838
01/05/2025;01/04/2025;"Facebook / Instagram";"Tanzania, United Republic Of";thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;0.000026012540
01/05/2025;01/04/2025;"Facebook / Instagram";Canada;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;0.003277740334
01/04/2025;01/03/2025;Spotify;Latvia;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;3;RUB;0.330824219752
01/04/2025;01/03/2025;Spotify;Germany;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;30;RUB;1.837779024192
01/06/2025;01/05/2025;Spotify;Egypt;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;14;RUB;0.805663953398
01/06/2025;01/05/2025;Spotify;France;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;14;RUB;0.467422915673
01/05/2025;01/04/2025;Yandex;Uzbekistan;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;22;RUB;0.480705683922
01/04/2025;01/03/2025;Yandex;Kyrgyzstan;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;3;RUB;0.033230198733
01/05/2025;01/04/2025;"Facebook / Instagram";France;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;2;RUB;0.016791927587
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;6658;RUB;143.512939070835
01/06/2025;01/05/2025;Spotify;Turkey;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;3;RUB;0.039016613834
01/04/2025;01/03/2025;Yandex;Belarus;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;224;RUB;4.585193460523
01/04/2025;01/03/2025;Spotify;"United States";thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;14;RUB;2.559213773670
01/05/2025;01/04/2025;"Facebook / Instagram";Japan;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;0.003076134624
01/06/2025;01/05/2025;Spotify;Germany;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;5;RUB;0.510564420306
01/05/2025;01/04/2025;"Facebook / Instagram";Mexico;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;0.000975516444
01/05/2025;01/04/2025;Spotify;Nigeria;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;48;RUB;0.695805057290
01/05/2025;01/04/2025;Spotify;"Czech Republic";thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;0.145194176834
01/05/2025;01/05/2025;"Apple Music";Turkey;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;0.064258270057
01/06/2025;01/05/2025;Spotify;"United Kingdom";thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;6;RUB;0.414624313938
01/06/2025;01/05/2025;Spotify;Nigeria;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;50;RUB;0.794890685093
01/05/2025;01/04/2025;"Facebook / Instagram";Brazil;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;5;RUB;0.002796481603
01/04/2025;01/09/2023;Yandex;Worldwide;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;36.119898031007
01/05/2025;01/04/2025;"Facebook / Instagram";Netherlands;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;0.003739486015
01/06/2025;01/06/2025;"Apple Music";"Russian Federation";thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;20;RUB;1.998371199988
01/05/2025;01/04/2025;Spotify;Armenia;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;12;RUB;1.417501262446
01/06/2025;01/05/2025;Spotify;Ireland;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;0.039259254444
01/06/2025;01/05/2025;Spotify;Canada;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;0.077353833846
01/06/2025;01/05/2025;Spotify;"Czech Republic";thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;6;RUB;0.884958907535
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;6574;RUB;136.251188022409
01/04/2025;01/03/2025;Spotify;"United Kingdom";thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;7;RUB;0.624656927973
01/05/2025;01/04/2025;"Facebook / Instagram";Georgia;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;1;RUB;0.000500766896
01/06/2025;01/06/2025;"YouTube UGC";Ukraine;thqlabel;"cawabang, gwenn";ivy;"i know you still hate me";3617053701715;DG-A07-22-42731;;"Music Release";Stream;3;RUB;0.008926022862
