"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/05/2025;Yandex;"Russian Federation";"Stars Clique";"деформация воспоминаний";"что от меня останется";"что от меня останется";3617394327117;FR-X20-25-38814;;"Music Release";Stream;16;RUB;0.333731231216
01/04/2025;01/04/2025;"YouTube Official Content";Sweden;"Stars Clique";"деформация воспоминаний";"что от меня останется";"что от меня останется";3617394327117;FR-X20-25-38814;;"Music Release";Stream;1;RUB;0.007420089211
01/04/2025;01/04/2025;"YouTube Official Content";"United Kingdom";"Stars Clique";"деформация воспоминаний";"что от меня останется";"что от меня останется";3617394327117;FR-X20-25-38814;;"Music Release";Stream;2;RUB;0.102556232938
01/04/2025;01/04/2025;"YouTube Official Content";"Czech Republic";"Stars Clique";"деформация воспоминаний";"что от меня останется";"что от меня останется";3617394327117;FR-X20-25-38814;;"Music Release";Stream;1;RUB;0.004553236550
01/04/2025;01/04/2025;"YouTube Official Content";Ukraine;"Stars Clique";"деформация воспоминаний";"что от меня останется";"что от меня останется";3617394327117;FR-X20-25-38814;;"Music Release";Stream;9;RUB;0.179799251409
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"деформация воспоминаний";"что от меня останется";"что от меня останется";3617394327117;FR-X20-25-38814;;"Music Release";Stream;16;RUB;0.192581197814
01/04/2025;01/04/2025;"YouTube Official Content";"Moldova, Republic Of";"Stars Clique";"деформация воспоминаний";"что от меня останется";"что от меня останется";3617394327117;FR-X20-25-38814;;"Music Release";Stream;2;RUB;0.021152072478
01/04/2025;01/04/2025;"YouTube Official Content";Germany;"Stars Clique";"деформация воспоминаний";"что от меня останется";"что от меня останется";3617394327117;FR-X20-25-38814;;"Music Release";Stream;2;RUB;0.218362625111
01/04/2025;01/04/2025;"YouTube Official Content";Netherlands;"Stars Clique";"деформация воспоминаний";"что от меня останется";"что от меня останется";3617394327117;FR-X20-25-38814;;"Music Release";Stream;6;RUB;0.109759501364
01/05/2025;01/04/2025;Yandex;"Russian Federation";"Stars Clique";"деформация воспоминаний";"что от меня останется";"что от меня останется";3617394327117;FR-X20-25-38814;;"Music Release";Stream;16;RUB;0.349604133808
01/04/2025;01/04/2025;"YouTube Official Content";Italy;"Stars Clique";"деформация воспоминаний";"что от меня останется";"что от меня останется";3617394327117;FR-X20-25-38814;;"Music Release";Stream;1;RUB;0.465923783183
01/04/2025;01/04/2025;"YouTube Official Content";Denmark;"Stars Clique";"деформация воспоминаний";"что от меня останется";"что от меня останется";3617394327117;FR-X20-25-38814;;"Music Release";Stream;1;RUB;0.096099791717
01/04/2025;01/04/2025;"YouTube Official Content";Israel;"Stars Clique";"деформация воспоминаний";"что от меня останется";"что от меня останется";3617394327117;FR-X20-25-38814;;"Music Release";Stream;1;RUB;0.030403092817
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";"Stars Clique";"деформация воспоминаний";"что от меня останется";"что от меня останется";3617394327117;FR-X20-25-38814;;"Music Release";Stream;2;RUB;0.145270817792
01/04/2025;01/04/2025;"YouTube Official Content";Belarus;"Stars Clique";"деформация воспоминаний";"что от меня останется";"что от меня останется";3617394327117;FR-X20-25-38814;;"Music Release";Stream;2;RUB;0.022838456366
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"деформация воспоминаний";"что от меня останется";"что от меня останется";3617394327117;FR-X20-25-38814;;"Music Release";Stream;26;RUB;0.537104030997
