"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/06/2025;"Apple Music";Japan;thqlabel;"destroy sally";"в поле звёзды светят ярче";звёзды;3617395827463;FR-X28-25-14802;;"Music Release";Stream;1;RUB;0.192778010353
01/05/2025;01/04/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;"destroy sally";"грустное отношение";пока;3617392443840;FR-59R-25-98229;;"Music Release";Stream;1;RUB;0.004200000000
01/06/2025;01/05/2025;Yandex;Belarus;thqlabel;"destroy sally";"в поле звёзды светят ярче";звёзды;3617395827463;FR-X28-25-14802;;"Music Release";Stream;14;RUB;0.062000237448
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"destroy sally";"грустное отношение";пока;3617392443840;FR-59R-25-98229;;"Music Release";Stream;13;RUB;0.179981197778
01/06/2025;01/05/2025;Yandex;Kazakhstan;thqlabel;"destroy sally";"в поле звёзды светят ярче";звёзды;3617395827463;FR-X28-25-14802;;"Music Release";Stream;5;RUB;0.015823859788
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"destroy sally";"грустное отношение";пока;3617392443840;FR-59R-25-98229;;"Music Release";Stream;59;RUB;0.924316261431
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;"destroy sally";"в поле звёзды светят ярче";звёзды;3617395827463;FR-X28-25-14802;;"Music Release";Stream;162;RUB;1.096576247290
01/04/2025;01/03/2025;"UMA (Vkontakte)";Belarus;thqlabel;"destroy sally";"грустное отношение";пока;3617392443840;FR-59R-25-98229;;"Music Release";Stream;2;RUB;0.008400000000
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;"destroy sally";"грустное отношение";пока;3617392443840;FR-59R-25-98229;;"Music Release";Stream;10;RUB;0.190888589478
01/06/2025;01/05/2025;Yandex;Uzbekistan;thqlabel;"destroy sally";"в поле звёзды светят ярче";звёзды;3617395827463;FR-X28-25-14802;;"Music Release";Stream;3;RUB;0.009494315858
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;"destroy sally";"грустное отношение";пока;3617392443840;FR-59R-25-98229;;"Music Release";Stream;43;RUB;0.939561109504
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;"destroy sally";"грустное отношение";пока;3617392443840;FR-59R-25-98229;;"Music Release";Stream;51;RUB;1.070487464840
01/04/2025;01/03/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;"destroy sally";"грустное отношение";пока;3617392443840;FR-59R-25-98229;;"Music Release";Stream;2;RUB;0.008400000000
01/06/2025;01/06/2025;Likee;"Russian Federation";thqlabel;"destroy sally";"грустное отношение";пока;3617392443840;FR-59R-25-98229;;"Music Release";Stream;7;RUB;0.186375215934
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;"destroy sally";"грустное отношение";пока;3617392035663;FR-59R-25-77565;;"Music Release";Stream;45;RUB;0.942745359941
01/04/2025;01/03/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"destroy sally";"грустное отношение";пока;3617392443840;FR-59R-25-98229;;"Music Release";Stream;1;RUB;0.124171690422
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;"destroy sally";"грустное отношение";пока;3617392035663;FR-59R-25-77565;;"Music Release";Stream;16;RUB;0.349604133808
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"destroy sally";"грустное отношение";пока;3617392035663;FR-59R-25-77565;;"Music Release";Stream;1;RUB;0.004200000038
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"destroy sally";"грустное отношение";пока;3617392443840;FR-59R-25-98229;;"Music Release";Stream;32;RUB;0.232700735127
01/06/2025;01/05/2025;Yandex;"Moldova, Republic Of";thqlabel;"destroy sally";"в поле звёзды светят ярче";звёзды;3617395827463;FR-X28-25-14802;;"Music Release";Stream;1;RUB;0.003164771929
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;"destroy sally";"грустное отношение";пока;3617392035663;FR-59R-25-77565;;"Music Release";Stream;2;RUB;0.041716403884
