"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/03/2025;"UMA (Vkontakte)";Belarus;thqlabel;"destroy sally, beQUITE";"грустное отношение";следы;3617392443840;FR-59R-25-98230;;"Music Release";Stream;1;RUB;0.004200000038
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"destroy sally, beQUITE";"грустное отношение";следы;3617392443840;FR-59R-25-98230;;"Music Release";Stream;10;RUB;0.315287308726
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;"destroy sally, beQUITE";"грустное отношение";следы;3617392443840;FR-59R-25-98230;;"Music Release";Stream;13;RUB;0.235769765363
01/05/2025;01/04/2025;NetEase;"China Mainland";thqlabel;"destroy sally, beQUITE";"грустное отношение";следы;3617392035663;FR-59R-25-77566;;"Music Release";Stream;1;RUB;0.030713948550
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"destroy sally, beQUITE";"грустное отношение";следы;3617392443840;FR-59R-25-98230;;"Music Release";Stream;29;RUB;0.290773241549
01/06/2025;01/05/2025;"Amazon Music Streaming";Mexico;thqlabel;"destroy sally, beQUITE";"грустное отношение";следы;3617392035663;FR-59R-25-77566;;"Music Release";Stream;1;RUB;0.021828386225
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"destroy sally, beQUITE";"грустное отношение";следы;3617392443840;FR-59R-25-98230;;"Music Release";Stream;5;RUB;0.072901333571
01/06/2025;01/05/2025;NetEase;"China Mainland";thqlabel;"destroy sally, beQUITE";"грустное отношение";следы;3617392035663;FR-59R-25-77566;;"Music Release";Stream;1;RUB;0.030457958088
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;"destroy sally, beQUITE";"грустное отношение";следы;3617392035663;FR-59R-25-77566;;"Music Release";Stream;21;RUB;0.458855425582
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;"destroy sally, beQUITE";"грустное отношение";следы;3617392443840;FR-59R-25-98230;;"Music Release";Stream;33;RUB;0.687261150142
01/06/2025;01/05/2025;Yandex;Belarus;thqlabel;"destroy sally, beQUITE";"грустное отношение";следы;3617392443840;FR-59R-25-98230;;"Music Release";Stream;1;RUB;0.020858201942
01/04/2025;01/03/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"destroy sally, beQUITE";"грустное отношение";следы;3617392443840;FR-59R-25-98230;;"Music Release";Stream;5;RUB;0.577544570897
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;"destroy sally, beQUITE";"грустное отношение";следы;3617392035663;FR-59R-25-77566;;"Music Release";Stream;3;RUB;0.062574605898
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;"destroy sally, beQUITE";"грустное отношение";следы;3617392443840;FR-59R-25-98230;;"Music Release";Stream;15;RUB;0.327753875395
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;"destroy sally, beQUITE";"грустное отношение";следы;3617392035663;FR-59R-25-77566;;"Music Release";Stream;56;RUB;1.232846305118
01/05/2025;01/04/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;"destroy sally, beQUITE";"грустное отношение";следы;3617392443840;FR-59R-25-98230;;"Music Release";Stream;1;RUB;0.004200000000
