"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/04/2025;Yandex;Uzbekistan;thqlabel;"evacry, 3umph";"white dress";"white dress";5063316784434;RU-A1D-24-05977;;"Music Release";Stream;1;RUB;0.021850258413
01/04/2025;01/03/2025;Yandex;Kazakhstan;thqlabel;"evacry, 3umph";"white dress";"white dress";5063316784434;RU-A1D-24-05977;;"Music Release";Stream;19;RUB;0.389196238711
01/06/2025;01/05/2025;Yandex;Kazakhstan;thqlabel;"evacry, 3umph";"white dress";"white dress";5063316784434;RU-A1D-24-05977;;"Music Release";Stream;9;RUB;0.187723817550
01/04/2025;01/03/2025;Spotify;Germany;thqlabel;"evacry, 3umph";"white dress";"white dress";5063316784434;RU-A1D-24-05977;;"Music Release";Stream;10;RUB;0.587765363522
01/06/2025;01/05/2025;Yandex;Belarus;thqlabel;"evacry, 3umph";"white dress";"white dress";5063316784434;RU-A1D-24-05977;;"Music Release";Stream;22;RUB;0.441187012927
01/05/2025;01/05/2025;"YouTube Official Content";Ukraine;thqlabel;"evacry, 3umph";"white dress";"white dress";5063316784434;RU-A1D-24-05977;;"Music Release";Stream;2;RUB;0.080665209867
01/04/2025;01/04/2025;"YouTube Official Content";Estonia;thqlabel;"evacry, 3umph";"white dress";"white dress";5063316784434;RU-A1D-24-05977;;"Music Release";Stream;1;RUB;0.220173370113
01/04/2025;01/03/2025;Yandex;Belarus;thqlabel;"evacry, 3umph";"white dress";"white dress";5063316784434;RU-A1D-24-05977;;"Music Release";Stream;50;RUB;1.064517540826
01/04/2025;01/03/2025;Spotify;"United States";thqlabel;"evacry, 3umph";"white dress";"white dress";5063316784434;RU-A1D-24-05977;;"Music Release";Stream;2;RUB;0.291083322976
01/06/2025;01/05/2025;Yandex;Uzbekistan;thqlabel;"evacry, 3umph";"white dress";"white dress";5063316784434;RU-A1D-24-05977;;"Music Release";Stream;2;RUB;0.041716403884
