"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/05/2025;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";"фэтби, YOUNG KIT";Кальян;Кальян;3617222979891;FR-X87-23-76311;;"Music Release";Stream;2;RUB;0.008400000000
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"фэтби, YOUNG KIT";Кальян;Кальян;3617222979891;FR-X87-23-76311;;"Music Release";Stream;1;RUB;-0.017579372003
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"фэтби, YOUNG KIT";Кальян;Кальян;3617222979891;FR-X87-23-76311;;"Music Release";Stream;1;RUB;0.000954382166
01/06/2025;01/06/2025;Likee;"Russian Federation";"трэп хаус квэльчиков";"фэтби, YOUNG KIT";Кальян;Кальян;3617222979891;FR-X87-23-76311;;"Music Release";Stream;34;RUB;0.905251048799
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"фэтби, YOUNG KIT";Кальян;Кальян;3617222979891;FR-X87-23-76311;;"Music Release";Stream;5;RUB;0.106451754120
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"фэтби, YOUNG KIT";Кальян;Кальян;3617222979891;FR-X87-23-76311;;"Music Release";Stream;-1;RUB;-0.010943622926
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"фэтби, YOUNG KIT";Кальян;Кальян;3617222979891;FR-X87-23-76311;;"Music Release";Stream;1;RUB;0.008856851602
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"фэтби, YOUNG KIT";Кальян;Кальян;3617222979891;FR-X87-23-76311;;"Music Release";Stream;9;RUB;0.037800000038
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"фэтби, YOUNG KIT";Кальян;Кальян;3617222979891;FR-X87-23-76311;;"Music Release";Stream;2;RUB;0.076835408896
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"фэтби, YOUNG KIT";Кальян;Кальян;3617222979891;FR-X87-23-76311;;"Music Release";Stream;2;RUB;0.202102567762
01/05/2025;01/12/2024;"Facebook / Instagram";Worldwide;"трэп хаус квэльчиков";"фэтби, YOUNG KIT";Кальян;Кальян;3617222979891;FR-X87-23-76311;;"Music Release";Creation;6;RUB;0.140418716205
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"фэтби, YOUNG KIT";Кальян;Кальян;3617222979891;FR-X87-23-76311;;"Music Release";Stream;8;RUB;0.174802066867
01/05/2025;01/04/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"фэтби, YOUNG KIT";Кальян;Кальян;3617222979891;FR-X87-23-76311;;"Music Release";Stream;1;RUB;0.021850258413
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"фэтби, YOUNG KIT";Кальян;Кальян;3617222979891;FR-X87-23-76311;;"Music Release";Stream;1;RUB;0.000934524033
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"фэтби, YOUNG KIT";Кальян;Кальян;3617222979891;FR-X87-23-76311;;"Music Release";Stream;3;RUB;0.062574605898
01/06/2025;01/05/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"фэтби, YOUNG KIT";Кальян;Кальян;3617222979891;FR-X87-23-76311;;"Music Release";Stream;1;RUB;0.072521369986
