"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";hirukv;blursed;blursed;3617050011725;FR-X45-22-26771;;"Music Release";Stream;-1;RUB;-0.007295748042
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";hirukv;blursed;blursed;3617050011725;FR-X45-22-26771;;"Music Release";Stream;2;RUB;0.145270817792
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";hirukv;blursed;blursed;3617050011725;FR-X45-22-26771;;"Music Release";Stream;18;RUB;0.212242739971
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";hirukv;blursed;blursed;3617050011725;FR-X45-22-26771;;"Music Release";Stream;1;RUB;0.000040382683
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";hirukv;blursed;blursed;3617050011725;FR-X45-22-26771;;"Music Release";Stream;7;RUB;0.149032455753
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";hirukv;blursed;blursed;3617050011725;FR-X45-22-26771;;"Music Release";Stream;9;RUB;0.465704030997
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";hirukv;blursed;blursed;3617050011725;FR-X45-22-26771;;"Music Release";Stream;22;RUB;0.480705683922
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";hirukv;blursed;blursed;3617050011725;FR-X45-22-26771;;"Music Release";Stream;1;RUB;0.000726337150
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";hirukv;blursed;blursed;3617050011725;FR-X45-22-26771;;"Music Release";Stream;36;RUB;0.697814980305
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";hirukv;blursed;blursed;3617050011725;FR-X45-22-26771;;"Music Release";Stream;11;RUB;0.046200000038
01/05/2025;01/04/2025;Yandex;Belarus;"трэп хаус квэльчиков";hirukv;blursed;blursed;3617050011725;FR-X45-22-26771;;"Music Release";Stream;1;RUB;0.021850258413
01/04/2025;01/03/2025;Yandex;Uzbekistan;"трэп хаус квэльчиков";hirukv;blursed;blursed;3617050011725;FR-X45-22-26771;;"Music Release";Stream;1;RUB;0.021290350854
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";hirukv;blursed;blursed;3617050011725;FR-X45-22-26771;;"Music Release";Stream;1;RUB;0.000039542413
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";hirukv;blursed;blursed;3617050011725;FR-X45-22-26771;;"Music Release";Stream;1;RUB;-0.059750254290
