"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;1;RUB;0.480094866094
01/04/2025;01/03/2025;Soundcloud;France;"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;3;RUB;0.662460902699
01/04/2025;01/03/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;5;RUB;0.106451754120
01/05/2025;01/04/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;1;RUB;0.021850258413
01/05/2025;01/04/2025;Yandex;Belarus;"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;2;RUB;0.043700516681
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;1;RUB;0.382655664137
01/04/2025;01/03/2025;Yandex;"Moldova, Republic Of";"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;1;RUB;0.021290350854
01/06/2025;01/05/2025;Soundcloud;Finland;"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;12;RUB;2.670681582830
01/06/2025;01/05/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;2;RUB;0.041716403884
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;1;RUB;0.203864342418
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;-1;RUB;-0.219098185322
01/04/2025;01/03/2025;Yandex;Uzbekistan;"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;1;RUB;0.021290350854
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;5;RUB;0.021000000000
01/06/2025;01/05/2025;Yandex;Belarus;"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;1;RUB;0.020858201942
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;2;RUB;0.008400000000
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;231;RUB;4.022040301250
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;1;RUB;0.467602177801
01/04/2025;01/03/2025;Soundcloud;"United States";"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;4;RUB;0.883281203624
01/04/2025;01/03/2025;Yandex;Belarus;"трэп хаус квэльчиков";"kannoe, nipa regret, on1t";"this night alone";"this night alone";3617051892507;FR-X87-22-61861;;"Music Release";Stream;19;RUB;0.404516665551
