"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/04/2025;Yandex;"Russian Federation";"DARKI MUZIK";kissmychopa;seduced;seduced;3617391009948;FR-2X4-25-93979;;"Music Release";Stream;6;RUB;0.131101550187
01/04/2025;01/03/2025;Yandex;"Russian Federation";"DARKI MUZIK";kissmychopa;seduced;seduced;3617391009948;FR-2X4-25-93979;;"Music Release";Stream;46;RUB;0.964035710720
01/05/2025;01/03/2025;TikTok;Germany;"DARKI MUZIK";kissmychopa;seduced;seduced;3617391009948;FR-2X4-25-93979;;"Music Release";Creation;2;RUB;0.156255108258
01/05/2025;01/03/2025;TikTok;"United Kingdom";"DARKI MUZIK";kissmychopa;seduced;seduced;3617391009948;FR-2X4-25-93979;;"Music Release";Creation;2;RUB;0.156255108258
01/05/2025;01/03/2025;TikTok;Netherlands;"DARKI MUZIK";kissmychopa;seduced;seduced;3617391009948;FR-2X4-25-93979;;"Music Release";Creation;1;RUB;0.078127554129
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";kissmychopa;seduced;seduced;3617391009948;FR-2X4-25-93979;;"Music Release";Stream;5;RUB;0.157870817792
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";kissmychopa;seduced;seduced;3617391009948;FR-2X4-25-93979;;"Music Release";Stream;18;RUB;0.075600000000
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";kissmychopa;seduced;seduced;3617391009948;FR-2X4-25-93979;;"Music Release";Stream;1;RUB;-0.000513249726
01/05/2025;01/03/2025;TikTok;Poland;"DARKI MUZIK";kissmychopa;seduced;seduced;3617391009948;FR-2X4-25-93979;;"Music Release";Creation;1;RUB;0.078127554129
01/05/2025;01/03/2025;TikTok;France;"DARKI MUZIK";kissmychopa;seduced;seduced;3617391009948;FR-2X4-25-93979;;"Music Release";Creation;9;RUB;0.703147987089
01/06/2025;01/05/2025;Yandex;"Russian Federation";"DARKI MUZIK";kissmychopa;seduced;seduced;3617391009948;FR-2X4-25-93979;;"Music Release";Stream;1;RUB;0.020858201942
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";kissmychopa;seduced;seduced;3617391009948;FR-2X4-25-93979;;"Music Release";Stream;2;RUB;0.076721370022
