"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/04/2025;"YouTube UGC";Canada;"трэп хаус квэльчиков";колпак;"СВИНПЛАНЕТА ВЗРЫВАЕТСЯ";"Как сделать крысоеда?";3617227867124;DG-A09-23-77242;;"Music Release";Stream;3;RUB;0.104154282485
01/05/2025;01/05/2025;"YouTube UGC";Denmark;"трэп хаус квэльчиков";колпак;"СВИНПЛАНЕТА ВЗРЫВАЕТСЯ";"Как сделать крысоеда?";3617227867124;DG-A09-23-77242;;"Music Release";Stream;2;RUB;0.018932510210
01/05/2025;01/05/2025;"YouTube UGC";Nigeria;"трэп хаус квэльчиков";колпак;"СВИНПЛАНЕТА ВЗРЫВАЕТСЯ";"Как сделать крысоеда?";3617227867124;DG-A09-23-77242;;"Music Release";Stream;1;RUB;0.001004012707
01/04/2025;01/04/2025;"YouTube UGC";Poland;"трэп хаус квэльчиков";колпак;"СВИНПЛАНЕТА ВЗРЫВАЕТСЯ";"Как сделать крысоеда?";3617227867124;DG-A09-23-77242;;"Music Release";Stream;2;RUB;0.064747964619
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";колпак;"СВИНПЛАНЕТА ВЗРЫВАЕТСЯ";"Количество ярких дней";3617227867124;DG-A09-23-77243;;"Music Release";Stream;1;RUB;0.021850258413
01/05/2025;01/04/2025;"UMA VK Clips";Kazakhstan;"трэп хаус квэльчиков";колпак;"СВИНПЛАНЕТА ВЗРЫВАЕТСЯ";"Как сделать крысоеда?";3617227867124;DG-A09-23-77242;;"Music Release";Stream;1;RUB;0.000793217649
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";колпак;"СВИНПЛАНЕТА ВЗРЫВАЕТСЯ";"Количество ярких дней";3617227867124;DG-A09-23-77243;;"Music Release";Stream;2;RUB;0.248045748042
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";колпак;"СВИНПЛАНЕТА ВЗРЫВАЕТСЯ";"Big Vpiska Homa из МЫША";3617227867124;DG-A09-23-77238;;"Music Release";Stream;1;RUB;0.021850258413
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";колпак;"СВИНПЛАНЕТА ВЗРЫВАЕТСЯ";"Ниче не знаешь ваще";3617227867124;DG-A09-23-77241;;"Music Release";Stream;10;RUB;1.000582992243
01/04/2025;01/03/2025;"UMA VK Clips";"Russian Federation";"трэп хаус квэльчиков";колпак;"СВИНПЛАНЕТА ВЗРЫВАЕТСЯ";"Как сделать крысоеда?";3617227867124;DG-A09-23-77242;;"Music Release";Stream;1;RUB;0.000806380214
