"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";Подъезд;3617226803703;DG-A08-23-53264;;"Music Release";Stream;1;RUB;0.190640372290
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Жизнь кортни Intro";3617226803703;DG-A08-23-53263;;"Music Release";Stream;1;RUB;0.281627823802
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Не похожим";3617226803703;DG-A08-23-53271;;"Music Release";Stream;1;RUB;0.045105929998
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";Подъезд;3617226803703;DG-A08-23-53264;;"Music Release";Stream;1;RUB;0.115960741093
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Дориан Грей";3617226803703;DG-A08-23-53269;;"Music Release";Stream;1;RUB;0.203638579638
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";Стирай;3617226803703;DG-A08-23-53266;;"Music Release";Stream;1;RUB;0.006071770560
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Хайпер рок 3";3617226803703;DG-A08-23-53267;;"Music Release";Stream;1;RUB;0.102675463726
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Хайпер рок 3";3617226803703;DG-A08-23-53267;;"Music Release";Stream;1;RUB;0.216636787061
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Виновата ты";3617226803703;DG-A08-23-53268;;"Music Release";Stream;1;RUB;0.164673423219
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Жизнь кортни Intro";3617226803703;DG-A08-23-53263;;"Music Release";Stream;1;RUB;0.040677504234
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Разговоры с дьяволом";3617226803703;DG-A08-23-53272;;"Music Release";Stream;1;RUB;0.014106950252
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Разговоры с дьяволом";3617226803703;DG-A08-23-53272;;"Music Release";Stream;1;RUB;0.064991036741
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Виновата ты";3617226803703;DG-A08-23-53268;;"Music Release";Stream;1;RUB;0.147313014862
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Лишь ты";3617226803703;DG-A08-23-53270;;"Music Release";Stream;1;RUB;0.116983864783
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Пьероша Outro";3617226803703;DG-A08-23-53273;;"Music Release";Stream;1;RUB;0.008856851602
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Люблю ненавидеть";3617226803703;DG-A08-23-53265;;"Music Release";Stream;1;RUB;0.076926581655
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Пьероша Outro";3617226803703;DG-A08-23-53273;;"Music Release";Stream;1;RUB;0.090987450162
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Лишь ты";3617226803703;DG-A08-23-53270;;"Music Release";Stream;1;RUB;0.084961761422
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Дориан Грей";3617226803703;DG-A08-23-53269;;"Music Release";Stream;1;RUB;0.168280176172
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";Стирай;3617226803703;DG-A08-23-53266;;"Music Release";Stream;1;RUB;0.047660092735
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Не похожим";3617226803703;DG-A08-23-53271;;"Music Release";Stream;1;RUB;0.090987450162
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";кортнии;"Жизнь кортни";"Люблю ненавидеть";3617226803703;DG-A08-23-53265;;"Music Release";Stream;1;RUB;0.173309429634
