"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/03/2025;"UMA (Vkontakte)";Belarus;thqlabel;maryy;diverse;diverse;5063466246233;RU-A1D-24-81029;;"Music Release";Stream;15;RUB;0.063000000038
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;maryy;0.mp3;0.mp3;3617665484228;DG-A0Q-24-60999;;"Music Release";Stream;6;RUB;0.125149211724
01/06/2025;01/06/2025;"YouTube Official Content";Ukraine;thqlabel;maryy;"Мы Не Умеем Летать";"Наполни Моё Сердце Песней";3617396354418;FR-X28-25-58346;;"Music Release";Stream;2;RUB;0.077325444892
01/05/2025;01/04/2025;"UMA (Vkontakte)";Belarus;thqlabel;maryy;A-113;пустота;5063466034434;RU-A1D-24-46824;;"Music Release";Stream;18;RUB;0.075600000000
01/06/2025;01/05/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;maryy;"diverse 2";wtd2;3617665871905;DG-A0R-24-20302;;"Music Release";Stream;1;RUB;0.129581197778
01/04/2025;01/03/2025;"Facebook / Instagram";Australia;thqlabel;maryy;A-113;пустота;5063466034434;RU-A1D-24-46824;;"Music Release";Stream;1;RUB;0.008615696492
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;maryy;diverse;diverse;5063466246233;RU-A1D-24-81029;;"Music Release";Stream;2;RUB;0.128371690460
01/05/2025;01/04/2025;"UMA (Vkontakte)";Kyrgyzstan;thqlabel;maryy;"diverse 2";"о завтра";3617665871905;DG-A0R-24-20305;;"Music Release";Stream;1;RUB;0.004200000000
01/06/2025;01/06/2025;"YouTube UGC";"Russian Federation";thqlabel;maryy;"Мы Не Умеем Летать";"Я Снова Вижу";3617396354418;FR-X28-25-58352;;"Music Release";Stream;1;RUB;0.004478593218
01/06/2025;01/05/2025;"UMA (Vkontakte)";Belarus;thqlabel;maryy;A-113;"FM7 Outro";5063466034434;RU-A1D-24-46826;;"Music Release";Stream;8;RUB;0.033600000000
01/05/2025;01/04/2025;"UMA (Vkontakte)";Kyrgyzstan;thqlabel;maryy;0.mp3;0.mp3;3617665484228;DG-A0Q-24-60999;;"Music Release";Stream;1;RUB;0.004200000000
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;maryy;A-113;"я снова упал";5063466034434;RU-A1D-24-46825;;"Music Release";Stream;455;RUB;10.010597742154
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;maryy;"diverse 2";"о завтра";3617665871905;DG-A0R-24-20305;;"Music Release";Stream;5;RUB;0.620114370143
01/06/2025;01/05/2025;Yandex;"Moldova, Republic Of";thqlabel;maryy;"diverse 2";wtd2;3617665871905;DG-A0R-24-20302;;"Music Release";Stream;12;RUB;0.250298423376
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;maryy;"наш последний мост";"кем мы были";3617669734190;FR-10S-25-99743;;"Music Release";Stream;32;RUB;1.137639369874
01/06/2025;01/06/2025;"YouTube Official Content";Ukraine;thqlabel;maryy;"Мы Не Умеем Летать";"Без Вас";3617396354418;FR-X28-25-58350;;"Music Release";Stream;1;RUB;0.038662722446
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;maryy;A-113;пустота;5063466034434;RU-A1D-24-46824;;"Music Release";Stream;1;RUB;0.105233478358
01/06/2025;01/05/2025;"UMA (Vkontakte)";Belarus;thqlabel;maryy;"diverse 3";"diverse 3";3617395637253;FR-X28-25-01461;;"Music Release";Stream;1;RUB;0.004200000036
01/06/2025;01/05/2025;Yandex;Uzbekistan;thqlabel;maryy;"diverse 3";"diverse 3";3617395637253;FR-X28-25-01461;;"Music Release";Stream;2;RUB;0.006329543930
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;maryy;"diverse 2";"о завтра";3617665871905;DG-A0R-24-20305;;"Music Release";Stream;140;RUB;2.690133683439
01/06/2025;01/06/2025;"YouTube UGC";Ukraine;thqlabel;maryy;"diverse 3";"diverse 3";3617395637253;FR-X28-25-01461;;"Music Release";Stream;3;RUB;0.029365786251
01/04/2025;01/01/2025;"Facebook / Instagram";Ukraine;thqlabel;maryy;A-113;пустота;5063466034434;RU-A1D-24-46824;;"Music Release";Stream;7;RUB;0.004242008265
01/06/2025;01/05/2025;Yandex;Uzbekistan;thqlabel;maryy;"наш последний мост";"кем мы были";3617669734190;FR-10S-25-99743;;"Music Release";Stream;2;RUB;0.041716403884
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;maryy;A-113;"я снова упал";5063466034434;RU-A1D-24-46825;;"Music Release";Stream;258;RUB;5.080627793769
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;maryy;diverse;diverse;5063466246233;RU-A1D-24-81029;;"Music Release";Stream;1;RUB;-0.002035556000
01/04/2025;01/03/2025;"UMA (Vkontakte)";Belarus;thqlabel;maryy;diverse;"в поисках дома";5063466246233;RU-A1D-24-81021;;"Music Release";Stream;18;RUB;0.075600000000
01/04/2025;01/01/2025;"Facebook / Instagram";Chile;thqlabel;maryy;A-113;пустота;5063466034434;RU-A1D-24-46824;;"Music Release";Stream;2;RUB;0.001145417602
01/04/2025;01/03/2025;Yandex;Belarus;thqlabel;maryy;"diverse 2";"о завтра";3617665871905;DG-A0R-24-20305;;"Music Release";Stream;2;RUB;0.042580701633
01/06/2025;01/05/2025;"Facebook / Instagram";Japan;thqlabel;maryy;A-113;пустота;5063466034434;RU-A1D-24-46824;;"Music Release";Stream;2;RUB;0.006232651701
01/04/2025;01/03/2025;"Facebook / Instagram";"United States";thqlabel;maryy;A-113;пустота;5063466034434;RU-A1D-24-46824;;"Music Release";Stream;4;RUB;0.027243299506
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;maryy;diverse;"best friend";5063466246233;RU-A1D-24-81024;;"Music Release";Stream;1;RUB;-0.002335723040
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;maryy;diverse;"в поисках дома";5063466246233;RU-A1D-24-81021;;"Music Release";Stream;3;RUB;0.062574605898
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;maryy;"diverse 2";сямозеро;3617665871905;DG-A0R-24-20310;;"Music Release";Stream;28;RUB;0.636716482330
01/04/2025;01/03/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;maryy;"наш последний мост";"кем мы были";3617669734190;FR-10S-25-99743;;"Music Release";Stream;5;RUB;0.620858452261
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;maryy;"diverse 2";сямозеро;3617665871905;DG-A0R-24-20310;;"Music Release";Stream;14;RUB;0.538091496086
01/04/2025;01/03/2025;Yandex;Ukraine;thqlabel;maryy;"diverse 2";наверху;3617665871905;DG-A0R-24-20303;;"Music Release";Stream;3;RUB;0.017909771893
01/04/2025;01/03/2025;Yandex;Belarus;thqlabel;maryy;A-113;"в другом месте Intro";5063466034434;RU-A1D-24-46823;;"Music Release";Stream;2;RUB;0.042580701633
01/05/2025;01/05/2025;"Apple Music";Kazakhstan;thqlabel;maryy;"diverse 2";wtd2;3617665871905;DG-A0R-24-20302;;"Music Release";Stream;1;RUB;0.104245033390
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;maryy;A-113;"я снова упал";5063466034434;RU-A1D-24-46825;;"Music Release";Stream;4;RUB;0.093457809170
01/06/2025;01/05/2025;Yandex;Turkmenistan;thqlabel;maryy;A-113;"в другом месте Intro";5063466034434;RU-A1D-24-46823;;"Music Release";Stream;2;RUB;0.006329543930
