"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";minayo;Сироп;Сироп;3616849269248;FR-X28-22-54577;;"Music Release";Stream;1;RUB;0.009575593388
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";minayo;Сироп;Сироп;3616849269248;FR-X28-22-54577;;"Music Release";Stream;29;RUB;0.190235408896
01/06/2025;01/05/2025;Yandex;Belarus;"трэп хаус квэльчиков";minayo;Сироп;Сироп;3616849269248;FR-X28-22-54577;;"Music Release";Stream;1;RUB;0.020858201942
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";minayo;внимание;внимание;3616849744769;FR-X45-22-02639;;"Music Release";Stream;1;RUB;-0.007338232587
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";minayo;Сироп;Сироп;3616849269248;FR-X28-22-54577;;"Music Release";Stream;1;RUB;0.011517256370
01/06/2025;01/05/2025;Yandex;Belarus;"трэп хаус квэльчиков";minayo;внимание;внимание;3616849744769;FR-X45-22-02639;;"Music Release";Stream;2;RUB;0.024022973870
01/04/2025;01/03/2025;Yandex;Belarus;"трэп хаус квэльчиков";minayo;внимание;внимание;3616849744769;FR-X45-22-02639;;"Music Release";Stream;1;RUB;0.005969924014
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";minayo;внимание;внимание;3616849744769;FR-X45-22-02639;;"Music Release";Stream;1;RUB;0.011233957076
01/04/2025;01/04/2025;"Apple Music";Japan;"трэп хаус квэльчиков";minayo;внимание;внимание;3616849744769;FR-X45-22-02639;;"Music Release";Stream;1;RUB;0.173945002198
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";minayo;Сироп;Сироп;3616849269248;FR-X28-22-54577;;"Music Release";Stream;1;RUB;0.009376350739
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";minayo;внимание;внимание;3616849744769;FR-X45-22-02639;;"Music Release";Stream;19;RUB;0.415154908829
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";minayo;Сироп;Сироп;3616849269248;FR-X28-22-54577;;"Music Release";Stream;11;RUB;0.046200000036
01/05/2025;01/04/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";minayo;внимание;внимание;3616849744769;FR-X45-22-02639;;"Music Release";Stream;1;RUB;0.021850258413
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";minayo;внимание;внимание;3616849744769;FR-X45-22-02639;;"Music Release";Stream;-1;RUB;-0.021887245778
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";minayo;внимание;внимание;3616849744769;FR-X45-22-02639;;"Music Release";Stream;115;RUB;2.380999794471
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";minayo;Сироп;Сироп;3616849269248;FR-X28-22-54577;;"Music Release";Stream;6;RUB;0.127742104899
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";minayo;внимание;внимание;3616849744769;FR-X45-22-02639;;"Music Release";Stream;1;RUB;0.004200000000
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";minayo;внимание;внимание;3616849744769;FR-X45-22-02639;;"Music Release";Stream;2;RUB;0.042580701633
01/06/2025;01/05/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";minayo;внимание;внимание;3616849744769;FR-X45-22-02639;;"Music Release";Stream;6;RUB;0.125149211724
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";minayo;внимание;внимание;3616849744769;FR-X45-22-02639;;"Music Release";Stream;8;RUB;0.033600000000
01/05/2025;01/05/2025;"Apple Music";Japan;"трэп хаус квэльчиков";minayo;Сироп;Сироп;3616849269248;FR-X28-22-54577;;"Music Release";Stream;1;RUB;0.122073946947
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";minayo;внимание;внимание;3616849744769;FR-X45-22-02639;;"Music Release";Stream;1;RUB;0.004428425764
