"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/05/2025;Yandex;Uzbekistan;"трэп хаус квэльчиков";"nipa regret, kannoe";Холод;Холод;3616849415584;FR-X28-22-71467;;"Music Release";Stream;2;RUB;0.041716403884
01/04/2025;01/03/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"nipa regret, kannoe";Холод;Холод;3616849415584;FR-X28-22-71467;;"Music Release";Stream;1;RUB;0.021290350854
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"nipa regret, kannoe";Холод;Холод;3616849415584;FR-X28-22-71467;;"Music Release";Stream;1;RUB;0.013950575227
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"nipa regret, kannoe";"один в тишине";"один в тишине";3617053398991;DG-A06-22-90128;;"Music Release";Stream;1;RUB;0.004200000000
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"nipa regret, kannoe";"один в тишине";"один в тишине";3617053398991;DG-A06-22-90128;;"Music Release";Stream;1;RUB;0.036528216611
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"nipa regret, kannoe";"один в тишине";"один в тишине";3617053398991;DG-A06-22-90128;;"Music Release";Stream;4;RUB;0.016800000000
01/05/2025;01/04/2025;Yandex;Belarus;"трэп хаус квэльчиков";"nipa regret, kannoe";Холод;Холод;3616849415584;FR-X28-22-71467;;"Music Release";Stream;3;RUB;0.065550775094
01/06/2025;01/05/2025;Yandex;Belarus;"трэп хаус квэльчиков";"nipa regret, kannoe";"один в тишине";"один в тишине";3617053398991;DG-A06-22-90128;;"Music Release";Stream;4;RUB;0.012659087859
01/06/2025;01/05/2025;Yandex;Uzbekistan;"трэп хаус квэльчиков";"nipa regret, kannoe";"один в тишине";"один в тишине";3617053398991;DG-A06-22-90128;;"Music Release";Stream;1;RUB;0.020858201942
01/05/2025;01/04/2025;Yandex;Belarus;"трэп хаус квэльчиков";"nipa regret, kannoe";"один в тишине";"один в тишине";3617053398991;DG-A06-22-90128;;"Music Release";Stream;4;RUB;0.087401033434
