"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;1;RUB;0.123254453500
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;1;RUB;0.229152611783
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;4;RUB;0.016800000000
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;49;RUB;1.052863135786
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;-1;RUB;-0.149562848335
01/06/2025;01/05/2025;Yandex;Belarus;"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;2;RUB;0.006329543930
01/04/2025;01/03/2025;"UMA (Vkontakte)";Kazakhstan;"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;1;RUB;0.004200000038
01/05/2025;01/04/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;1;RUB;0.021850258413
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;1;RUB;0.573342124470
01/05/2025;01/12/2024;"Facebook / Instagram";Philippines;"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Creation;13;RUB;0.019195332242
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;1;RUB;0.496865125132
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;2;RUB;0.128222873985
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;3;RUB;0.012600000038
01/05/2025;01/12/2024;"Facebook / Instagram";Bangladesh;"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Creation;6;RUB;0.008102831141
01/04/2025;01/04/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;1;RUB;0.099223600019
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;1;RUB;0.481556663977
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;1;RUB;0.234021985988
01/05/2025;01/05/2025;"YouTube Official Content";Latvia;"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;3;RUB;0.106774702186
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;1;RUB;-0.074535545537
01/05/2025;01/12/2024;"Facebook / Instagram";Thailand;"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Creation;6;RUB;0.011850682265
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;72;RUB;1.501790540546
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"on1t, Nanami";"the oath";"the oath";3617052994798;DG-A06-22-26979;;"Music Release";Stream;90;RUB;1.854849865978
