"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"on1t, t1de";"love n' hate";falling;3616849729599;FR-X45-22-01150;;"Music Release";Stream;196;RUB;3.982047002718
01/06/2025;01/06/2025;"Apple Music";Poland;"трэп хаус квэльчиков";"on1t, t1de";"love n' hate";falling;3616849729599;FR-X45-22-01150;;"Music Release";Stream;2;RUB;0.437888483748
01/04/2025;01/03/2025;"UMA (Vkontakte)";Belarus;"трэп хаус квэльчиков";"on1t, t1de";"love n' hate";highway;3616849729599;FR-X45-22-01154;;"Music Release";Stream;1;RUB;0.004200000038
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"on1t, t1de";"love n' hate";falling;3616849729599;FR-X45-22-01150;;"Music Release";Stream;1;RUB;0.509266621831
01/04/2025;01/03/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"on1t, t1de";"love n' hate";falling;3616849729599;FR-X45-22-01150;;"Music Release";Stream;1;RUB;0.124171690422
01/05/2025;01/04/2025;"UMA (Vkontakte)";Kazakhstan;"трэп хаус квэльчиков";"on1t, t1de";"love n' hate";eyes;3616849729599;FR-X45-22-01136;;"Music Release";Stream;6;RUB;0.084676217543
01/06/2025;01/06/2025;"YouTube UGC";Germany;"трэп хаус квэльчиков";"on1t, t1de";"love n' hate";falling;3616849729599;FR-X45-22-01150;;"Music Release";Stream;1;RUB;0.006268286608
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"on1t, t1de";"love n' hate";eyes;3616849729599;FR-X45-22-01136;;"Music Release";Stream;1;RUB;0.194850730080
01/06/2025;01/05/2025;Spotify;Slovakia;"трэп хаус квэльчиков";"on1t, t1de";"love n' hate";highway;3616849729599;FR-X45-22-01154;;"Music Release";Stream;2;RUB;0.117049841431
01/05/2025;01/05/2025;"YouTube Official Content";"Czech Republic";"трэп хаус квэльчиков";"on1t, t1de";"love n' hate";eyes;3616849729599;FR-X45-22-01136;;"Music Release";Stream;1;RUB;0.073766956861
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"on1t, t1de";"love n' hate";falling;3616849729599;FR-X45-22-01150;;"Music Release";Stream;1;RUB;-0.403736537767
01/06/2025;01/05/2025;NetEase;"China Mainland";"трэп хаус квэльчиков";"on1t, t1de";"love n' hate";falling;3616849729599;FR-X45-22-01150;;"Music Release";Stream;1;RUB;0.030457958088
