"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"onwq, kweetee";"ссоры с детства";"удивительный цифровой цирк";3617394938313;FR-X20-25-70457;;"Music Release";Stream;63;RUB;0.891505988814
01/06/2025;01/06/2025;"YouTube Official Content";"Czech Republic";thqlabel;"onwq, kweetee";"ссоры с детства";"удивительный цифровой цирк";3617394938313;FR-X20-25-70457;;"Music Release";Stream;1;RUB;0.026850606950
01/06/2025;01/06/2025;"YouTube Official Content";Netherlands;thqlabel;"onwq, kweetee";"ссоры с детства";"удивительный цифровой цирк";3617394938313;FR-X20-25-70457;;"Music Release";Stream;5;RUB;0.685043475172
01/06/2025;01/06/2025;"YouTube Official Content";Romania;thqlabel;"onwq, kweetee";"ссоры с детства";"удивительный цифровой цирк";3617394938313;FR-X20-25-70457;;"Music Release";Stream;1;RUB;0.092052716978
01/06/2025;01/05/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;"onwq, kweetee";"ссоры с детства";"удивительный цифровой цирк";3617394938313;FR-X20-25-70457;;"Music Release";Stream;1;RUB;0.004200000036
01/06/2025;01/05/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;"onwq, kweetee";"ссоры с детства";"удивительный цифровой цирк";3617394938313;FR-X20-25-70457;;"Music Release";Stream;1;RUB;0.004200000036
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;"onwq, kweetee";"ссоры с детства";"удивительный цифровой цирк";3617394938313;FR-X20-25-70457;;"Music Release";Stream;388;RUB;7.916048057550
01/06/2025;01/06/2025;"YouTube Official Content";"United States";thqlabel;"onwq, kweetee";"ссоры с детства";"удивительный цифровой цирк";3617394938313;FR-X20-25-70457;;"Music Release";Stream;2;RUB;0.310979675947
01/06/2025;01/05/2025;Yandex;Uzbekistan;thqlabel;"onwq, kweetee";"ссоры с детства";"удивительный цифровой цирк";3617394938313;FR-X20-25-70457;;"Music Release";Stream;1;RUB;0.020858201942
01/06/2025;01/06/2025;"YouTube Official Content";Denmark;thqlabel;"onwq, kweetee";"ссоры с детства";"удивительный цифровой цирк";3617394938313;FR-X20-25-70457;;"Music Release";Stream;1;RUB;0.057390610281
01/06/2025;01/05/2025;Yandex;Kazakhstan;thqlabel;"onwq, kweetee";"ссоры с детства";"удивительный цифровой цирк";3617394938313;FR-X20-25-70457;;"Music Release";Stream;4;RUB;0.065739377827
01/06/2025;01/05/2025;Yandex;Belarus;thqlabel;"onwq, kweetee";"ссоры с детства";"удивительный цифровой цирк";3617394938313;FR-X20-25-70457;;"Music Release";Stream;6;RUB;0.125149211724
