"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/03/2025;Yandex;Belarus;"DARKI MUZIK";preziklil;АШКУДИ;АШКУДИ;5063316013312;RU-A1D-23-43937;;"Music Release";Stream;4;RUB;0.069840976502
01/04/2025;01/11/2024;Yandex;Worldwide;"DARKI MUZIK";preziklil;35+;35+;3617661030993;DG-A07-24-93779;;"Music Release";Stream;-1;RUB;-0.040126618471
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";preziklil;"На паре 40";"На паре 40";5063466179258;RU-A1D-24-69980;;"Music Release";Stream;1;RUB;-0.008238516350
01/05/2025;01/04/2025;Yandex;"Russian Federation";"DARKI MUZIK";preziklil;DoggyStyle;DoggyStyle;5063316303628;RU-A1D-23-88882;;"Music Release";Stream;2;RUB;0.043700516681
01/06/2025;01/05/2025;Yandex;Kazakhstan;"DARKI MUZIK";preziklil;"На паре 40";"На паре 40";5063466179258;RU-A1D-24-69980;;"Music Release";Stream;1;RUB;0.020858201942
01/05/2025;01/04/2025;Yandex;"Russian Federation";"DARKI MUZIK";preziklil;АШКУДИ;АШКУДИ;5063316013312;RU-A1D-23-43937;;"Music Release";Stream;47;RUB;1.026962142938
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";preziklil;35+;35+;3617661030993;DG-A07-24-93779;;"Music Release";Stream;3;RUB;0.062119337114
01/04/2025;01/03/2025;Yandex;Kazakhstan;"DARKI MUZIK";preziklil;АШКУДИ;АШКУДИ;5063316013312;RU-A1D-23-43937;;"Music Release";Stream;1;RUB;0.021290350854
01/06/2025;01/05/2025;Yandex;"Russian Federation";"DARKI MUZIK";preziklil;35+;35+;3617661030993;DG-A07-24-93779;;"Music Release";Stream;5;RUB;0.104291009782
01/04/2025;01/03/2025;Yandex;"Russian Federation";"DARKI MUZIK";preziklil;35+;35+;3617661030993;DG-A07-24-93779;;"Music Release";Stream;3;RUB;0.063871052487
01/05/2025;01/04/2025;Yandex;"Russian Federation";"DARKI MUZIK";preziklil;"На паре 40";"На паре 40";5063466179258;RU-A1D-24-69980;;"Music Release";Stream;6;RUB;0.131101550187
01/04/2025;01/11/2024;Yandex;Worldwide;"DARKI MUZIK";preziklil;DoggyStyle;DoggyStyle;5063316303628;RU-A1D-23-88882;;"Music Release";Stream;-1;RUB;-0.003647874884
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";preziklil;АШКУДИ;АШКУДИ;5063316013312;RU-A1D-23-43937;;"Music Release";Stream;1;RUB;-0.010589860375
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";preziklil;DoggyStyle;DoggyStyle;5063316303628;RU-A1D-23-88882;;"Music Release";Stream;1;RUB;-0.002898755782
01/04/2025;01/03/2025;Yandex;Uzbekistan;"DARKI MUZIK";preziklil;АШКУДИ;АШКУДИ;5063316013312;RU-A1D-23-43937;;"Music Release";Stream;1;RUB;0.021290350854
01/06/2025;01/05/2025;Yandex;"Russian Federation";"DARKI MUZIK";preziklil;"На паре 40";"На паре 40";5063466179258;RU-A1D-24-69980;;"Music Release";Stream;15;RUB;0.312873029274
01/06/2025;01/05/2025;Yandex;"Russian Federation";"DARKI MUZIK";preziklil;АШКУДИ;АШКУДИ;5063316013312;RU-A1D-23-43937;;"Music Release";Stream;42;RUB;0.858351051984
01/05/2025;01/05/2025;"YouTube Official Content";Ukraine;"DARKI MUZIK";preziklil;35+;35+;3617661030993;DG-A07-24-93779;;"Music Release";Stream;1;RUB;0.060831875708
01/04/2025;01/03/2025;Yandex;"Russian Federation";"DARKI MUZIK";preziklil;"На паре 40";"На паре 40";5063466179258;RU-A1D-24-69980;;"Music Release";Stream;3;RUB;0.063871052487
01/04/2025;01/03/2025;Yandex;Kazakhstan;"DARKI MUZIK";preziklil;"На паре 40";"На паре 40";5063466179258;RU-A1D-24-69980;;"Music Release";Stream;2;RUB;0.042580701633
01/04/2025;01/04/2025;"Apple Music";Nigeria;"DARKI MUZIK";preziklil;АШКУДИ;АШКУДИ;5063316013312;RU-A1D-23-43937;;"Music Release";Stream;1;RUB;0.018362303510
01/04/2025;01/03/2025;Yandex;"Russian Federation";"DARKI MUZIK";preziklil;DoggyStyle;DoggyStyle;5063316303628;RU-A1D-23-88882;;"Music Release";Stream;2;RUB;0.042580701633
01/04/2025;01/03/2025;Yandex;"Russian Federation";"DARKI MUZIK";preziklil;АШКУДИ;АШКУДИ;5063316013312;RU-A1D-23-43937;;"Music Release";Stream;72;RUB;1.486943978195
01/06/2025;01/05/2025;Yandex;"Russian Federation";"DARKI MUZIK";preziklil;DoggyStyle;DoggyStyle;5063316303628;RU-A1D-23-88882;;"Music Release";Stream;2;RUB;0.041716403884
01/05/2025;01/05/2025;"Apple Music";Ukraine;"DARKI MUZIK";preziklil;АШКУДИ;АШКУДИ;5063316013312;RU-A1D-23-43937;;"Music Release";Stream;1;RUB;0.100055371444
01/04/2025;01/04/2025;"YouTube Official Content";Spain;"DARKI MUZIK";preziklil;АШКУДИ;АШКУДИ;5063316013312;RU-A1D-23-43937;;"Music Release";Stream;1;RUB;0.124888774190
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";preziklil;АШКУДИ;АШКУДИ;5063316013312;RU-A1D-23-43937;;"Music Release";Stream;1;RUB;0.004200000000
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";preziklil;35+;35+;3617661030993;DG-A07-24-93779;;"Music Release";Stream;1;RUB;-0.009108123809
01/04/2025;01/03/2025;Yandex;Kazakhstan;"DARKI MUZIK";preziklil;35+;35+;3617661030993;DG-A07-24-93779;;"Music Release";Stream;1;RUB;0.021290350854
01/05/2025;01/04/2025;Yandex;Kazakhstan;"DARKI MUZIK";preziklil;АШКУДИ;АШКУДИ;5063316013312;RU-A1D-23-43937;;"Music Release";Stream;1;RUB;0.021850258413
01/04/2025;01/11/2024;Yandex;Worldwide;"DARKI MUZIK";preziklil;АШКУДИ;АШКУДИ;5063316013312;RU-A1D-23-43937;;"Music Release";Stream;-1;RUB;-0.025535120662
01/04/2025;01/11/2024;Yandex;Worldwide;"DARKI MUZIK";preziklil;"На паре 40";"На паре 40";5063466179258;RU-A1D-24-69980;;"Music Release";Stream;-1;RUB;-0.018239372618
01/05/2025;01/04/2025;Yandex;Belarus;"DARKI MUZIK";preziklil;АШКУДИ;АШКУДИ;5063316013312;RU-A1D-23-43937;;"Music Release";Stream;2;RUB;0.043700516681
01/05/2025;01/04/2025;Yandex;"Russian Federation";"DARKI MUZIK";preziklil;35+;35+;3617661030993;DG-A07-24-93779;;"Music Release";Stream;4;RUB;0.087401033434
01/04/2025;01/02/2025;"Facebook / Instagram";Italy;"DARKI MUZIK";preziklil;DoggyStyle;DoggyStyle;5063316303628;RU-A1D-23-88882;;"Music Release";Stream;1;RUB;0.001719166229
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";preziklil;"На паре 40";"На паре 40";5063466179258;RU-A1D-24-69980;;"Music Release";Stream;1;RUB;0.004200000000
01/06/2025;01/05/2025;Yandex;Uzbekistan;"DARKI MUZIK";preziklil;АШКУДИ;АШКУДИ;5063316013312;RU-A1D-23-43937;;"Music Release";Stream;1;RUB;0.020858201942
01/04/2025;01/04/2025;"YouTube Official Content";Ukraine;"DARKI MUZIK";preziklil;АШКУДИ;АШКУДИ;5063316013312;RU-A1D-23-43937;;"Music Release";Stream;3;RUB;0.100972849282
01/06/2025;01/05/2025;Yandex;Kazakhstan;"DARKI MUZIK";preziklil;35+;35+;3617661030993;DG-A07-24-93779;;"Music Release";Stream;1;RUB;0.020858201942
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";preziklil;"На паре 40";"На паре 40";5063466179258;RU-A1D-24-69980;;"Music Release";Stream;1;RUB;0.004200000038
