"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/05/2025;Soundcloud;"United Kingdom";"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;1;RUB;0.222556798526
01/05/2025;01/12/2024;"Facebook / Instagram";Worldwide;"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Creation;6;RUB;0.140418716205
01/04/2025;01/11/2024;Yandex;Worldwide;"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;-1;RUB;-0.923288418322
01/06/2025;01/05/2025;Yandex;Belarus;"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;1;RUB;0.020858201942
01/04/2025;01/03/2025;Yandex;"Russian Federation";"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;287;RUB;6.018408123114
01/04/2025;01/03/2025;Yandex;Azerbaijan;"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;1;RUB;0.021290350854
01/05/2025;01/04/2025;Yandex;Kazakhstan;"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;1;RUB;0.021850258413
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;5;RUB;0.260645748042
01/05/2025;01/05/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;1;RUB;0.101712239957
01/04/2025;01/03/2025;Yandex;Belarus;"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;3;RUB;0.063871052487
01/05/2025;01/04/2025;Yandex;"Russian Federation";"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;124;RUB;2.656033465169
01/05/2025;01/03/2025;"Facebook / Instagram";Worldwide;"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Creation;13;RUB;0.310662456910
01/06/2025;01/05/2025;Yandex;"Russian Federation";"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;89;RUB;1.820993113750
01/04/2025;01/03/2025;Yandex;Kazakhstan;"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;2;RUB;0.042580701633
01/05/2025;01/04/2025;Soundcloud;Netherlands;"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;2;RUB;0.461234484686
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;5;RUB;0.146381197778
01/06/2025;01/05/2025;Yandex;Kazakhstan;"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;3;RUB;0.062574605898
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;7;RUB;0.269343380957
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";"preziklil, Paskeka, CBmainer";"My Flo40";"My Flo40";5063466113092;RU-A1D-24-60303;;"Music Release";Stream;1;RUB;-0.055266058112
