"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;167;RUB;3.413846709984
01/05/2025;01/03/2025;TikTok;Germany;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Creation;3;RUB;0.234382662387
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;qqdie;"Хочется кричать";"Хочется кричать";5063466070456;RU-A1D-24-53217;;"Music Release";Stream;160;RUB;3.404246807489
01/04/2025;01/03/2025;Yandex;Belarus;thqlabel;qqdie;"Хочется кричать";"Хочется кричать";5063466070456;RU-A1D-24-53217;;"Music Release";Stream;4;RUB;0.069840976502
01/06/2025;01/05/2025;Yandex;Uzbekistan;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;1;RUB;0.020858201942
01/05/2025;01/03/2025;TikTok;"United Kingdom";thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Creation;1;RUB;0.078127554129
01/04/2025;01/04/2025;"YouTube UGC";Ukraine;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;2;RUB;0.012162370507
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;315;RUB;9.952670308507
01/04/2025;01/03/2025;Yandex;Kazakhstan;thqlabel;qqdie;"Хочется кричать";"Хочется кричать";5063466070456;RU-A1D-24-53217;;"Music Release";Stream;2;RUB;0.027260274868
01/04/2025;01/03/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;2;RUB;0.248343380919
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;qqdie;"Хочется кричать";"Хочется кричать";5063466070456;RU-A1D-24-53217;;"Music Release";Stream;99;RUB;1.817253973370
01/04/2025;01/04/2025;"YouTube Official Content";"Czech Republic";thqlabel;qqdie;"Хочется кричать";"Хочется кричать";5063466070456;RU-A1D-24-53217;;"Music Release";Stream;1;RUB;0.006890082866
01/06/2025;01/04/2025;TikTok;"United Kingdom";thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Creation;1;RUB;0.071995677163
01/05/2025;01/03/2025;TikTok;"United States";thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Creation;4;RUB;0.312510216443
01/06/2025;01/04/2025;TikTok;Belarus;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Creation;1;RUB;0.071995677163
01/06/2025;01/06/2025;"YouTube UGC";Argentina;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;2;RUB;0.003315832538
01/05/2025;01/04/2025;Yandex;"Moldova, Republic Of";thqlabel;qqdie;"Хочется кричать";"Хочется кричать";5063466070456;RU-A1D-24-53217;;"Music Release";Stream;1;RUB;0.021850258413
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;qqdie;"Хочется кричать";"Хочется кричать";5063466070456;RU-A1D-24-53217;;"Music Release";Stream;11;RUB;0.166022873985
01/04/2025;01/03/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;2;RUB;0.008400000000
01/04/2025;01/03/2025;"UMA (Vkontakte)";Belarus;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;4;RUB;0.016800000000
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;1;RUB;0.105233478358
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;qqdie;"Хочется кричать";"Хочется кричать";5063466070456;RU-A1D-24-53217;;"Music Release";Stream;376;RUB;7.775365503964
01/06/2025;01/06/2025;Likee;"Russian Federation";thqlabel;qqdie;"Хочется кричать";"Хочется кричать";5063466070456;RU-A1D-24-53217;;"Music Release";Stream;12;RUB;0.319500370203
01/05/2025;01/05/2025;"YouTube UGC";"Russian Federation";thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;1;RUB;0.001593900096
01/06/2025;01/06/2025;"YouTube UGC";Poland;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;1;RUB;0.000334041104
01/04/2025;01/03/2025;Yandex;Kazakhstan;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;2;RUB;0.042580701633
01/04/2025;01/03/2025;Yandex;Azerbaijan;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;1;RUB;0.021290350854
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;55;RUB;1.119929926598
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;353;RUB;7.330845279428
01/04/2025;01/03/2025;Yandex;Uzbekistan;thqlabel;qqdie;"Хочется кричать";"Хочется кричать";5063466070456;RU-A1D-24-53217;;"Music Release";Stream;1;RUB;0.021290350854
01/04/2025;01/03/2025;Yandex;Belarus;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;1;RUB;0.021290350854
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;qqdie;"Хочется кричать";"Хочется кричать";5063466070456;RU-A1D-24-53217;;"Music Release";Stream;1;RUB;-0.004545957367
01/04/2025;01/03/2025;Yandex;Azerbaijan;thqlabel;qqdie;"Хочется кричать";"Хочется кричать";5063466070456;RU-A1D-24-53217;;"Music Release";Stream;1;RUB;0.021290350854
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;130;RUB;9.802996043835
01/05/2025;01/04/2025;Yandex;Kazakhstan;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;1;RUB;0.021850258413
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;322;RUB;6.676995804258
01/06/2025;01/04/2025;TikTok;Austria;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Creation;1;RUB;0.071995677163
01/06/2025;01/04/2025;TikTok;"United States";thqlabel;qqdie;"Хочется кричать";"Хочется кричать";5063466070456;RU-A1D-24-53217;;"Music Release";Creation;1;RUB;0.071995677163
01/04/2025;01/04/2025;"YouTube Official Content";"Moldova, Republic Of";thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;1;RUB;0.016863839102
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;qqdie;"Хочется кричать";"Хочется кричать";5063466070456;RU-A1D-24-53217;;"Music Release";Stream;4;RUB;0.016800000000
01/06/2025;01/05/2025;"UMA (Vkontakte)";Belarus;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Stream;1;RUB;0.004200000036
01/06/2025;01/04/2025;TikTok;"United States";thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Creation;1;RUB;0.071995677163
01/05/2025;01/03/2025;"Facebook / Instagram";Worldwide;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Creation;7;RUB;0.167279784467
01/06/2025;01/04/2025;TikTok;Germany;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Creation;4;RUB;0.287982696132
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;qqdie;"Хочется кричать";"Хочется кричать";5063466070456;RU-A1D-24-53217;;"Music Release";Stream;25;RUB;0.105000000038
01/05/2025;01/03/2025;TikTok;France;thqlabel;qqdie;"выйди на связь!";"выйди на связь!";3617392426102;FR-59R-25-96388;;"Music Release";Creation;3;RUB;0.234382662387
