"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/06/2025;"YouTube UGC";Germany;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;1;RUB;0.002192486208
01/06/2025;01/05/2025;Yandex;Belarus;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;2;RUB;0.041716403884
01/06/2025;01/06/2025;"YouTube UGC";Argentina;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;1;RUB;0.000136266907
01/04/2025;01/03/2025;Yandex;Kazakhstan;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;1;RUB;0.005969924014
01/05/2025;01/03/2025;"Facebook / Instagram";Worldwide;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Creation;13;RUB;0.310662456910
01/05/2025;01/04/2025;Yandex;Azerbaijan;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;11;RUB;0.240352841961
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;81;RUB;1.678504962382
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;71;RUB;1.533568819708
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;1;RUB;-0.190700352733
01/06/2025;01/06/2025;"YouTube UGC";Italy;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;1;RUB;0.001918082726
01/04/2025;01/11/2024;Yandex;Worldwide;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;-1;RUB;-3.795444639412
01/06/2025;01/06/2025;"YouTube UGC";Poland;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;5;RUB;0.006240111809
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;75;RUB;1.565015498367
01/06/2025;01/06/2025;"YouTube UGC";"United States";thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;1;RUB;0.008662815474
01/04/2025;01/03/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;1;RUB;0.080857809133
01/04/2025;01/03/2025;Yandex;Uzbekistan;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;1;RUB;0.021290350854
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;29;RUB;0.497943593259
01/06/2025;01/06/2025;"YouTube UGC";Netherlands;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;4;RUB;0.008578226146
01/04/2025;01/03/2025;Yandex;Azerbaijan;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;8;RUB;0.170322806532
01/06/2025;01/05/2025;NetEase;"China Mainland";thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;1;RUB;0.030457958088
01/05/2025;01/05/2025;"YouTube Official Content";Netherlands;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;1;RUB;0.492881522498
01/06/2025;01/05/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;7;RUB;0.507649589898
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;15;RUB;0.422468622101
01/06/2025;01/05/2025;Yandex;Azerbaijan;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;5;RUB;0.104291009782
01/04/2025;01/04/2025;"Apple Music";Turkey;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;1;RUB;0.017199270042
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;1;RUB;0.072635408896
01/04/2025;01/03/2025;Yandex;Belarus;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;2;RUB;0.042580701633
01/06/2025;01/06/2025;"YouTube UGC";"United Kingdom";thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;2;RUB;0.002894837960
01/05/2025;01/05/2025;"Apple Music";Ukraine;thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;2;RUB;0.350086121108
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;"senCA, nt4lone, zeromandia";"lights out";"lights out";3617665384771;DG-A0Q-24-34571;;"Music Release";Stream;81;RUB;1.724518416100
