"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/04/2025;Yandex;Belarus;thqlabel;shameless;"удачный день";"удачный день";5063316885025;RU-A1D-24-22698;;"Music Release";Stream;1;RUB;0.021850258413
01/06/2025;01/04/2025;Deezer;Germany;thqlabel;shameless;"Снег с дождём";"Снег с дождём";3617394241079;FR-X20-25-34235;;"Music Release";Stream;1;RUB;0.404417781312
01/04/2025;01/04/2025;"Apple Music";Turkey;thqlabel;shameless;"Снег с дождём";"Снег с дождём";3617394241079;FR-X20-25-34235;;"Music Release";Stream;1;RUB;0.028285243811
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;shameless;"Снег с дождём";"Снег с дождём";3617394241079;FR-X20-25-34235;;"Music Release";Stream;14;RUB;0.305903617054
01/05/2025;01/04/2025;NetEase;"China Mainland";thqlabel;shameless;"Снег с дождём";"Снег с дождём";3617394241079;FR-X20-25-34235;;"Music Release";Stream;1;RUB;0.030713948550
01/04/2025;01/03/2025;"Amazon Music Streaming";"United States";thqlabel;shameless;"удачный день";"удачный день";5063316885025;RU-A1D-24-22698;;"Music Release";Stream;1;RUB;0.120357662223
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;shameless;"удачный день";"удачный день";5063316885025;RU-A1D-24-22698;;"Music Release";Stream;9;RUB;0.196652325208
01/05/2025;01/05/2025;"YouTube Official Content";Finland;thqlabel;shameless;"Снег с дождём";"Снег с дождём";3617394241079;FR-X20-25-34235;;"Music Release";Stream;1;RUB;0.007192802031
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;shameless;"удачный день";"удачный день";5063316885025;RU-A1D-24-22698;;"Music Release";Stream;6;RUB;0.107455781710
01/06/2025;01/04/2025;Deezer;Ukraine;thqlabel;shameless;"Снег с дождём";"Снег с дождём";3617394241079;FR-X20-25-34235;;"Music Release";Stream;1;RUB;0.026867039278
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;shameless;"удачный день";"удачный день";5063316885025;RU-A1D-24-22698;;"Music Release";Stream;3;RUB;0.063871052487
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;shameless;"Снег с дождём";"Снег с дождём";3617394241079;FR-X20-25-34235;;"Music Release";Stream;5;RUB;0.362606849927
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;shameless;"Снег с дождём";"Снег с дождём";3617394241079;FR-X20-25-34235;;"Music Release";Stream;2;RUB;0.196658282881
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;shameless;"Снег с дождём";"Снег с дождём";3617394241079;FR-X20-25-34235;;"Music Release";Stream;5;RUB;0.104291009782
01/06/2025;01/05/2025;"Amazon Music Streaming";Spain;thqlabel;shameless;"Снег с дождём";"Снег с дождём";3617394241079;FR-X20-25-34235;;"Music Release";Stream;1;RUB;0.082848494084
01/06/2025;01/04/2025;Deezer;"United Kingdom";thqlabel;shameless;"Снег с дождём";"Снег с дождём";3617394241079;FR-X20-25-34235;;"Music Release";Stream;1;RUB;0.677038906589
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;shameless;"Снег с дождём";"Снег с дождём";3617394241079;FR-X20-25-34235;;"Music Release";Stream;61;RUB;2.668974522648
