"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;1;RUB;-0.017989635047
01/05/2025;01/04/2025;Yandex;Belarus;"DARKI MUZIK";слипи;Вместе;Вместе;3617668029945;DG-A0T-24-35557;;"Music Release";Stream;9;RUB;0.196652325208
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;16;RUB;0.819487186591
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";слипи;Вместе;Вместе;3617668029945;DG-A0T-24-35557;;"Music Release";Stream;1;RUB;0.004200000000
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;25;RUB;0.498258999223
01/06/2025;01/05/2025;Yandex;Ukraine;"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;2;RUB;0.006329543930
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;2;RUB;0.248045748042
01/04/2025;01/03/2025;Yandex;Belarus;"DARKI MUZIK";слипи;Вместе;Вместе;3617668029945;DG-A0T-24-35557;;"Music Release";Stream;2;RUB;0.042580701633
01/04/2025;01/03/2025;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;6;RUB;0.745030142608
01/06/2025;01/05/2025;Yandex;"Russian Federation";"DARKI MUZIK";слипи;Вместе;Вместе;3617668029945;DG-A0T-24-35557;;"Music Release";Stream;77;RUB;1.499920970393
01/04/2025;01/11/2024;Yandex;Worldwide;"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;-1;RUB;-1.815401277745
01/05/2025;01/04/2025;Yandex;Uzbekistan;"DARKI MUZIK";слипи;Вместе;Вместе;3617668029945;DG-A0T-24-35557;;"Music Release";Stream;1;RUB;0.021850258413
01/05/2025;01/04/2025;Yandex;"Russian Federation";"DARKI MUZIK";слипи;Вместе;Вместе;3617668029945;DG-A0T-24-35557;;"Music Release";Stream;240;RUB;5.030467720333
01/06/2025;01/05/2025;Yandex;Uzbekistan;"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;7;RUB;0.146007413666
01/05/2025;01/04/2025;Yandex;Belarus;"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;2;RUB;0.043700516681
01/05/2025;01/05/2025;"Apple Music";Ukraine;"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;1;RUB;0.119523743402
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";слипи;Вместе;Вместе;3617668029945;DG-A0T-24-35557;;"Music Release";Stream;1;RUB;-0.000064156270
01/06/2025;01/05/2025;Yandex;"Russian Federation";"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;49;RUB;1.094126319490
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;24;RUB;1.076430935978
01/04/2025;01/03/2025;Yandex;Georgia;"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;1;RUB;0.021290350854
01/04/2025;01/03/2025;Yandex;Belarus;"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;2;RUB;0.062874031367
01/05/2025;01/04/2025;Yandex;Uzbekistan;"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;2;RUB;0.043700516681
01/05/2025;01/03/2025;TikTok;Uzbekistan;"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Creation;1;RUB;0.078127554129
01/05/2025;01/04/2025;Yandex;"Russian Federation";"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;112;RUB;2.474437251487
01/04/2025;01/03/2025;Yandex;"Russian Federation";"DARKI MUZIK";слипи;Вместе;Вместе;3617668029945;DG-A0T-24-35557;;"Music Release";Stream;121;RUB;2.514850741327
01/04/2025;01/03/2025;Yandex;"Moldova, Republic Of";"DARKI MUZIK";слипи;Эмоции;Эмоции;3617664471533;DG-A0P-24-33155;;"Music Release";Stream;3;RUB;0.063871052487
