"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/04/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;tab1a;f.e.;find;3617393671556;FR-96X-25-77996;;"Music Release";Stream;1;RUB;0.004200000000
01/05/2025;01/04/2025;Yandex;Kazakhstan;thqlabel;tab1a;f.e.;find;3617393671556;FR-96X-25-77996;;"Music Release";Stream;5;RUB;0.109251291774
01/05/2025;01/04/2025;Yandex;Belarus;thqlabel;tab1a;f.e.;find;3617393671556;FR-96X-25-77996;;"Music Release";Stream;4;RUB;0.087401033434
01/06/2025;01/06/2025;"YouTube Official Content";Ukraine;thqlabel;tab1a;strangers;strangers;3617396043220;FR-X28-25-33179;;"Music Release";Stream;1;RUB;0.020656064872
01/06/2025;01/06/2025;"YouTube Official Content";Estonia;thqlabel;tab1a;strangers;strangers;3617396043220;FR-X28-25-33179;;"Music Release";Stream;1;RUB;0.005283579993
01/06/2025;01/06/2025;"YouTube Official Content";Germany;thqlabel;tab1a;strangers;strangers;3617396043220;FR-X28-25-33179;;"Music Release";Stream;1;RUB;0.066955712030
01/06/2025;01/06/2025;"YouTube UGC";Poland;thqlabel;tab1a;strangers;strangers;3617396043220;FR-X28-25-33179;;"Music Release";Stream;1;RUB;0.001336155826
01/05/2025;01/04/2025;"UMA (Vkontakte)";Belarus;thqlabel;tab1a;f.e.;find;3617393671556;FR-96X-25-77996;;"Music Release";Stream;1;RUB;0.004200000000
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;tab1a;f.e.;find;3617393671556;FR-96X-25-77996;;"Music Release";Stream;38;RUB;0.830309817730
01/06/2025;01/06/2025;"Apple Music";Turkey;thqlabel;tab1a;strangers;strangers;3617396043220;FR-X28-25-33179;;"Music Release";Stream;1;RUB;0.062291783782
01/04/2025;01/04/2025;"YouTube UGC";Ukraine;thqlabel;tab1a;f.e.;find;3617393671556;FR-96X-25-77996;;"Music Release";Stream;5;RUB;0.022717660761
01/06/2025;01/06/2025;"YouTube UGC";Turkey;thqlabel;tab1a;strangers;strangers;3617396043220;FR-X28-25-33179;;"Music Release";Stream;1;RUB;0.000431175658
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;tab1a;f.e.;find;3617393671556;FR-96X-25-77996;;"Music Release";Stream;51;RUB;1.028381439593
01/06/2025;01/06/2025;"YouTube UGC";Ukraine;thqlabel;tab1a;strangers;strangers;3617396043220;FR-X28-25-33179;;"Music Release";Stream;12;RUB;0.018328930000
01/06/2025;01/06/2025;"YouTube UGC";Slovakia;thqlabel;tab1a;strangers;strangers;3617396043220;FR-X28-25-33179;;"Music Release";Stream;1;RUB;0.001881609545
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;tab1a;f.e.;find;3617393671556;FR-96X-25-77996;;"Music Release";Stream;83;RUB;4.281232703883
01/05/2025;01/05/2025;"YouTube UGC";Poland;thqlabel;tab1a;f.e.;find;3617393671556;FR-96X-25-77996;;"Music Release";Stream;1;RUB;0.010014473246
01/04/2025;01/04/2025;"YouTube Official Content";Germany;thqlabel;tab1a;f.e.;find;3617393671556;FR-96X-25-77996;;"Music Release";Stream;1;RUB;0.225469528761
01/04/2025;01/04/2025;"YouTube UGC";"Russian Federation";thqlabel;tab1a;f.e.;find;3617393671556;FR-96X-25-77996;;"Music Release";Stream;1;RUB;0.002917742454
01/05/2025;01/05/2025;"YouTube UGC";"Russian Federation";thqlabel;tab1a;f.e.;find;3617393671556;FR-96X-25-77996;;"Music Release";Stream;1;RUB;0.001593900096
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;tab1a;f.e.;find;3617393671556;FR-96X-25-77996;;"Music Release";Stream;39;RUB;2.044517966368
