"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/06/2025;"Apple Music";Turkey;thqlabel;"tab1a, di4umi, oukoo, Yukisoru, maryy";f.e.;ears;3617393671556;FR-96X-25-77997;;"Music Release";Stream;1;RUB;0.062291783782
01/05/2025;01/04/2025;"UMA (Vkontakte)";Belarus;thqlabel;"tab1a, di4umi, oukoo, Yukisoru, maryy";f.e.;ears;3617393671556;FR-96X-25-77997;;"Music Release";Stream;1;RUB;0.004200000000
01/05/2025;01/05/2025;"YouTube UGC";Poland;thqlabel;"tab1a, di4umi, oukoo, Yukisoru, maryy";f.e.;ears;3617393671556;FR-96X-25-77997;;"Music Release";Stream;1;RUB;0.010014473246
01/06/2025;01/06/2025;"YouTube Official Content";Georgia;thqlabel;"tab1a, di4umi, oukoo, Yukisoru, maryy";f.e.;ears;3617393671556;FR-96X-25-77997;;"Music Release";Stream;1;RUB;0.003598300157
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"tab1a, di4umi, oukoo, Yukisoru, maryy";f.e.;ears;3617393671556;FR-96X-25-77997;;"Music Release";Stream;46;RUB;3.856321629609
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;"tab1a, di4umi, oukoo, Yukisoru, maryy";f.e.;ears;3617393671556;FR-96X-25-77997;;"Music Release";Stream;193;RUB;4.043976758691
01/06/2025;01/05/2025;Yandex;Kazakhstan;thqlabel;"tab1a, di4umi, oukoo, Yukisoru, maryy";f.e.;ears;3617393671556;FR-96X-25-77997;;"Music Release";Stream;2;RUB;0.041716403884
01/05/2025;01/04/2025;Yandex;Kazakhstan;thqlabel;"tab1a, di4umi, oukoo, Yukisoru, maryy";f.e.;ears;3617393671556;FR-96X-25-77997;;"Music Release";Stream;11;RUB;0.240352841961
01/04/2025;01/04/2025;"YouTube UGC";Ukraine;thqlabel;"tab1a, di4umi, oukoo, Yukisoru, maryy";f.e.;ears;3617393671556;FR-96X-25-77997;;"Music Release";Stream;5;RUB;0.022717660761
01/04/2025;01/04/2025;"YouTube UGC";"Russian Federation";thqlabel;"tab1a, di4umi, oukoo, Yukisoru, maryy";f.e.;ears;3617393671556;FR-96X-25-77997;;"Music Release";Stream;1;RUB;0.002917742454
01/05/2025;01/05/2025;"YouTube UGC";"Russian Federation";thqlabel;"tab1a, di4umi, oukoo, Yukisoru, maryy";f.e.;ears;3617393671556;FR-96X-25-77997;;"Music Release";Stream;1;RUB;0.001593900096
01/05/2025;01/04/2025;Yandex;Belarus;thqlabel;"tab1a, di4umi, oukoo, Yukisoru, maryy";f.e.;ears;3617393671556;FR-96X-25-77997;;"Music Release";Stream;7;RUB;0.152951808527
01/06/2025;01/05/2025;Yandex;Belarus;thqlabel;"tab1a, di4umi, oukoo, Yukisoru, maryy";f.e.;ears;3617393671556;FR-96X-25-77997;;"Music Release";Stream;3;RUB;0.062574605898
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"tab1a, di4umi, oukoo, Yukisoru, maryy";f.e.;ears;3617393671556;FR-96X-25-77997;;"Music Release";Stream;42;RUB;3.185548746218
01/04/2025;01/04/2025;"YouTube Official Content";Germany;thqlabel;"tab1a, di4umi, oukoo, Yukisoru, maryy";f.e.;ears;3617393671556;FR-96X-25-77997;;"Music Release";Stream;1;RUB;0.198342839018
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;"tab1a, di4umi, oukoo, Yukisoru, maryy";f.e.;ears;3617393671556;FR-96X-25-77997;;"Music Release";Stream;132;RUB;2.777436960467
