"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;тенда;мизантроп;паранойя;5063316792002;RU-A1D-24-07366;;"Music Release";Stream;1;RUB;-0.027734097045
01/04/2025;01/02/2025;TikTok;Netherlands;thqlabel;тенда;мизантроп;"френ боу";5063316792002;RU-A1D-24-07367;;"Music Release";Creation;1;RUB;0.094602758506
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;тенда;мизантроп;пока;5063316792002;RU-A1D-24-07373;;"Music Release";Stream;1;RUB;0.124022873985
01/04/2025;01/03/2025;Spotify;"United Kingdom";thqlabel;тенда;мизантроп;"френ боу";5063316792002;RU-A1D-24-07367;;"Music Release";Stream;8;RUB;1.882018885399
01/05/2025;01/05/2025;"YouTube UGC";Ukraine;thqlabel;тенда;мизантроп;тхд;5063316792002;RU-A1D-24-07372;;"Music Release";Stream;2;RUB;0.207303600150
01/06/2025;01/05/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;тенда;мизантроп;"френ боу";5063316792002;RU-A1D-24-07367;;"Music Release";Stream;1;RUB;0.004200000036
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;тенда;мизантроп;"френ боу";5063316792002;RU-A1D-24-07367;;"Music Release";Stream;3;RUB;0.132422873985
01/04/2025;01/03/2025;Spotify;"United States";thqlabel;тенда;мизантроп;"френ боу";5063316792002;RU-A1D-24-07367;;"Music Release";Stream;8;RUB;1.310849725235
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;тенда;мизантроп;тхд;5063316792002;RU-A1D-24-07372;;"Music Release";Stream;1;RUB;-0.002286593771
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;тенда;мизантроп;паранойя;5063316792002;RU-A1D-24-07366;;"Music Release";Stream;3;RUB;0.132422873985
01/05/2025;01/04/2025;Spotify;Spain;thqlabel;тенда;мизантроп;"френ боу";5063316792002;RU-A1D-24-07367;;"Music Release";Stream;1;RUB;0.017876031157
01/04/2025;01/03/2025;Spotify;Kazakhstan;thqlabel;тенда;мизантроп;"френ боу";5063316792002;RU-A1D-24-07367;;"Music Release";Stream;5;RUB;0.547824512598
01/04/2025;01/03/2025;Spotify;Germany;thqlabel;тенда;мизантроп;"френ боу";5063316792002;RU-A1D-24-07367;;"Music Release";Stream;25;RUB;1.767395146624
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;тенда;мизантроп;пока;5063316792002;RU-A1D-24-07373;;"Music Release";Stream;1;RUB;0.004200000038
01/06/2025;01/05/2025;Spotify;Latvia;thqlabel;тенда;мизантроп;"френ боу";5063316792002;RU-A1D-24-07367;;"Music Release";Stream;2;RUB;0.049498689140
01/06/2025;01/06/2025;"YouTube UGC";"United States";thqlabel;тенда;мизантроп;омори;5063316792002;RU-A1D-24-07368;;"Music Release";Stream;2;RUB;0.060622356629
01/06/2025;01/06/2025;Likee;"Russian Federation";thqlabel;тенда;мизантроп;омори;5063316792002;RU-A1D-24-07368;;"Music Release";Stream;70;RUB;1.863752159408
01/06/2025;01/05/2025;Spotify;Germany;thqlabel;тенда;мизантроп;"френ боу";5063316792002;RU-A1D-24-07367;;"Music Release";Stream;12;RUB;1.149631319859
