"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";тонси;пустота;пустота;3617053542554;DG-A07-22-09489;;"Music Release";Stream;-1;RUB;-0.054793356897
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";тонси;нужен;нужен;3617058333751;FR-X28-23-14912;;"Music Release";Stream;1;RUB;0.000097629070
01/04/2025;01/04/2025;"Apple Music";"United States";"трэп хаус квэльчиков";тонси;нужен;нужен;3617058333751;FR-X28-23-14912;;"Music Release";Stream;1;RUB;0.352692527118
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";тонси;пустота;пустота;3617053542554;DG-A07-22-09489;;"Music Release";Stream;1;RUB;0.034248761708
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";тонси;пустота;пустота;3617053542554;DG-A07-22-09489;;"Music Release";Stream;1;RUB;0.014331408357
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";тонси;нужен;нужен;3617058333751;FR-X28-23-14912;;"Music Release";Stream;1;RUB;0.004428425764
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";тонси;пустота;пустота;3617053542554;DG-A07-22-09489;;"Music Release";Stream;54;RUB;1.126342905446
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";тонси;пустота;пустота;3617053542554;DG-A07-22-09489;;"Music Release";Stream;37;RUB;0.808459559317
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";тонси;пустота;пустота;3617053542554;DG-A07-22-09489;;"Music Release";Stream;1;RUB;0.014033209926
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";тонси;нужен;нужен;3617058333751;FR-X28-23-14912;;"Music Release";Stream;2;RUB;0.041716403884
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";тонси;нужен;нужен;3617058333751;FR-X28-23-14912;;"Music Release";Stream;1;RUB;0.001850175348
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";тонси;нужен;нужен;3617058333751;FR-X28-23-14912;;"Music Release";Stream;1;RUB;0.001889490642
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";тонси;пустота;пустота;3617053542554;DG-A07-22-09489;;"Music Release";Stream;7;RUB;0.149032455753
01/05/2025;01/05/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";тонси;пустота;пустота;3617053542554;DG-A07-22-09489;;"Music Release";Stream;1;RUB;0.101712239957
01/04/2025;01/04/2025;"Apple Music";France;"трэп хаус квэльчиков";тонси;нужен;нужен;3617058333751;FR-X28-23-14912;;"Music Release";Stream;3;RUB;1.120393357046
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";тонси;нужен;нужен;3617058333751;FR-X28-23-14912;;"Music Release";Stream;4;RUB;0.087401033434
01/05/2025;01/05/2025;"Apple Music";Japan;"трэп хаус квэльчиков";тонси;пустота;пустота;3617053542554;DG-A07-22-09489;;"Music Release";Stream;1;RUB;0.257539740676
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";тонси;пустота;пустота;3617053542554;DG-A07-22-09489;;"Music Release";Stream;1;RUB;0.025996414696
01/05/2025;01/02/2025;Audiomack;Nigeria;"трэп хаус квэльчиков";тонси;нужен;нужен;3617058333751;FR-X28-23-14912;;"Music Release";Stream;1;RUB;0.006721472586
01/04/2025;01/04/2025;"Apple Music";Japan;"трэп хаус квэльчиков";тонси;пустота;пустота;3617053542554;DG-A07-22-09489;;"Music Release";Stream;6;RUB;1.577983430295
01/05/2025;01/05/2025;"Apple Music";France;"трэп хаус квэльчиков";тонси;нужен;нужен;3617058333751;FR-X28-23-14912;;"Music Release";Stream;4;RUB;1.491482771756
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";тонси;нужен;нужен;3617058333751;FR-X28-23-14912;;"Music Release";Stream;1;RUB;0.075185868587
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";тонси;нужен;нужен;3617058333751;FR-X28-23-14912;;"Music Release";Stream;2;RUB;0.042580701633
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";тонси;пустота;пустота;3617053542554;DG-A07-22-09489;;"Music Release";Stream;1;RUB;0.004200000038
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";тонси;пустота;пустота;3617053542554;DG-A07-22-09489;;"Music Release";Stream;1;RUB;-0.021679047369
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";тонси;нужен;нужен;3617058333751;FR-X28-23-14912;;"Music Release";Stream;-1;RUB;-0.003647874884
01/06/2025;01/05/2025;Yandex;Uzbekistan;"трэп хаус квэльчиков";тонси;пустота;пустота;3617053542554;DG-A07-22-09489;;"Music Release";Stream;2;RUB;0.041716403884
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";тонси;пустота;пустота;3617053542554;DG-A07-22-09489;;"Music Release";Stream;1;RUB;0.008856851602
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";тонси;нужен;нужен;3617058333751;FR-X28-23-14912;;"Music Release";Stream;1;RUB;-0.023222891979
01/06/2025;01/06/2025;"Apple Music";France;"трэп хаус квэльчиков";тонси;нужен;нужен;3617058333751;FR-X28-23-14912;;"Music Release";Stream;4;RUB;1.454679123837
