"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;-1;RUB;-0.003647874884
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;1;RUB;0.017713702305
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;1;RUB;0.004313818791
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;30;RUB;0.638710524495
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;1;RUB;0.075185868587
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;1;RUB;-0.087263494881
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;1;RUB;0.003146019754
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;1;RUB;0.038994622044
01/04/2025;01/04/2025;"Apple Music";France;"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;1;RUB;0.373464452349
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;67;RUB;0.382433478358
01/06/2025;01/06/2025;"YouTube Official Content";Belarus;"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;1;RUB;0.028148727911
01/06/2025;01/05/2025;Yandex;Belarus;"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;6;RUB;0.125149211724
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;1;RUB;0.017151316330
01/05/2025;01/04/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;1;RUB;0.021850258413
01/05/2025;01/04/2025;Yandex;Belarus;"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;1;RUB;0.021850258413
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;76;RUB;1.660619635387
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;7;RUB;0.029400000036
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;1;RUB;0.003212871106
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"unsync, Astaroth";<3;<3;3617050571663;FR-X45-22-87890;;"Music Release";Stream;64;RUB;1.264151204957
