"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";венди;кабина;кабина;3617226529825;DG-A08-23-14202;;"Music Release";Stream;1;RUB;0.025996414696
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";венди;кабина;кабина;3617226529825;DG-A08-23-14202;;"Music Release";Stream;3;RUB;0.132422873985
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";венди;кабина;кабина;3617226529825;DG-A08-23-14202;;"Music Release";Stream;1;RUB;0.026570553907
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";венди;кабина;кабина;3617226529825;DG-A08-23-14202;;"Music Release";Stream;5;RUB;0.140971690422
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";венди;кабина;кабина;3617226529825;DG-A08-23-14202;;"Music Release";Stream;1;RUB;0.021850258413
01/06/2025;01/06/2025;"YouTube Official Content";"Czech Republic";"трэп хаус квэльчиков";венди;кабина;кабина;3617226529825;DG-A08-23-14202;;"Music Release";Stream;1;RUB;0.007378792760
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";венди;кабина;кабина;3617226529825;DG-A08-23-14202;;"Music Release";Stream;2;RUB;0.024022973870
01/06/2025;01/05/2025;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";венди;кабина;кабина;3617226529825;DG-A08-23-14202;;"Music Release";Stream;1;RUB;0.004200000036
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";венди;кабина;кабина;3617226529825;DG-A08-23-14202;;"Music Release";Stream;7;RUB;0.029400000036
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";венди;кабина;кабина;3617226529825;DG-A08-23-14202;;"Music Release";Stream;6;RUB;0.127742104899
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";венди;кабина;кабина;3617226529825;DG-A08-23-14202;;"Music Release";Stream;1;RUB;-0.199288271886
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";венди;кабина;кабина;3617226529825;DG-A08-23-14202;;"Music Release";Stream;-1;RUB;-0.003647874884
