"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/06/2025;"YouTube Official Content";Azerbaijan;thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;3;RUB;0.068549895643
01/06/2025;01/06/2025;"YouTube Official Content";Netherlands;thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;1;RUB;0.266911885891
01/06/2025;01/06/2025;"YouTube Official Content";Japan;thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;1;RUB;0.141153572414
01/06/2025;01/06/2025;"YouTube Official Content";Kazakhstan;thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;5;RUB;0.057914413490
01/06/2025;01/06/2025;"YouTube Official Content";Poland;thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;1;RUB;0.152067500998
01/06/2025;01/06/2025;"Apple Music";"United States";thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;1;RUB;0.337497192023
01/06/2025;01/06/2025;"Apple Music";Turkey;thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;14;RUB;0.400338541845
01/06/2025;01/06/2025;"YouTube Official Content";Belarus;thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;7;RUB;0.104305165534
01/06/2025;01/06/2025;"YouTube Official Content";Ukraine;thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;11;RUB;0.466808144573
01/06/2025;01/06/2025;"YouTube Official Content";Slovakia;thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;1;RUB;0.457511633484
01/06/2025;01/06/2025;"YouTube Official Content";Canada;thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;1;RUB;0.779942948538
01/06/2025;01/06/2025;"YouTube Official Content";Estonia;thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;3;RUB;0.654495676526
01/06/2025;01/06/2025;"YouTube Official Content";Norway;thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;1;RUB;0.265294928222
01/06/2025;01/06/2025;"YouTube Official Content";Latvia;thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;1;RUB;0.025643582213
01/06/2025;01/06/2025;"Apple Music";"Russian Federation";thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;2;RUB;0.199837119977
01/06/2025;01/06/2025;"YouTube UGC";"Russian Federation";thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;2;RUB;0.015400611927
01/06/2025;01/06/2025;"YouTube Official Content";Germany;thqlabel;"w0rsty, athysue";sakuramoon;sakuramoon;3617397042604;FR-X45-25-08834;;"Music Release";Stream;2;RUB;0.116625918787
