"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/04/2025;"YouTube Official Content";Belgium;"Stars Clique";warsy!;4COL;"4COL Slowed+reverb";3617393488154;FR-96X-25-59612;;"Music Release";Stream;1;RUB;0.139969864553
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";warsy!;"umer snova </3";"umer snova </3";3617394951084;FR-X20-25-72027;;"Music Release";Stream;1;RUB;0.004200000036
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";warsy!;4COL;4COL;3617393488154;FR-96X-25-59610;;"Music Release";Stream;1;RUB;0.004200000036
01/04/2025;01/04/2025;"YouTube Official Content";Ukraine;"Stars Clique";warsy!;4COL;"4COL Slowed+reverb";3617393488154;FR-96X-25-59612;;"Music Release";Stream;1;RUB;0.014141533680
01/04/2025;01/04/2025;"YouTube Official Content";Bolivia;"Stars Clique";warsy!;4COL;"4COL Slowed+reverb";3617393488154;FR-96X-25-59612;;"Music Release";Stream;1;RUB;0.008407828357
01/06/2025;01/05/2025;Yandex;"Russian Federation";"Stars Clique";warsy!;"umer snova </3";"umer snova </3";3617394951084;FR-X20-25-72027;;"Music Release";Stream;11;RUB;0.229440221434
01/04/2025;01/04/2025;"YouTube Official Content";"United States";"Stars Clique";warsy!;4COL;4COL;3617393488154;FR-96X-25-59610;;"Music Release";Stream;1;RUB;0.188007714833
01/04/2025;01/04/2025;"YouTube Official Content";Switzerland;"Stars Clique";warsy!;4COL;"4COL Slowed+reverb";3617393488154;FR-96X-25-59612;;"Music Release";Stream;1;RUB;0.007781457160
01/04/2025;01/04/2025;"YouTube Official Content";Brazil;"Stars Clique";warsy!;4COL;"4COL Slowed+reverb";3617393488154;FR-96X-25-59612;;"Music Release";Stream;1;RUB;0.018935682170
01/04/2025;01/04/2025;"YouTube Official Content";"United States";"Stars Clique";warsy!;4COL;"4COL Slowed+reverb";3617393488154;FR-96X-25-59612;;"Music Release";Stream;1;RUB;0.017996125487
01/05/2025;01/04/2025;Yandex;"Russian Federation";"Stars Clique";warsy!;4COL;4COL;3617393488154;FR-96X-25-59610;;"Music Release";Stream;2;RUB;0.043700516681
