"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/04/2025;"Apple Music";Ukraine;"трэп хаус квэльчиков";whoisnewell;недовольна;недовольна;3617226875168;DG-A08-23-59657;;"Music Release";Stream;1;RUB;0.072348328061
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";whoisnewell;недовольна;недовольна;3617226875168;DG-A08-23-59657;;"Music Release";Stream;3;RUB;0.372068622101
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";whoisnewell;недовольна;недовольна;3617226875168;DG-A08-23-59657;;"Music Release";Stream;1;RUB;-0.757425592314
01/05/2025;01/01/2025;"Facebook / Instagram";"Korea, Republic Of";"трэп хаус квэльчиков";whoisnewell;недовольна;недовольна;3617226875168;DG-A08-23-59657;;"Music Release";Creation;6;RUB;0.612103909022
01/04/2025;01/03/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";whoisnewell;недовольна;недовольна;3617226875168;DG-A08-23-59657;;"Music Release";Stream;1;RUB;0.021290350854
01/05/2025;01/02/2025;"Facebook / Instagram";Worldwide;"трэп хаус квэльчиков";whoisnewell;недовольна;недовольна;3617226875168;DG-A08-23-59657;;"Music Release";Creation;13;RUB;0.352038449958
01/04/2025;01/03/2025;"UMA (Vkontakte)";Kazakhstan;"трэп хаус квэльчиков";whoisnewell;недовольна;недовольна;3617226875168;DG-A08-23-59657;;"Music Release";Stream;3;RUB;0.079454386654
01/06/2025;01/06/2025;"Apple Music";Turkey;"трэп хаус квэльчиков";whoisnewell;недовольна;недовольна;3617226875168;DG-A08-23-59657;;"Music Release";Stream;1;RUB;0.031632404535
01/05/2025;01/05/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";whoisnewell;недовольна;недовольна;3617226875168;DG-A08-23-59657;;"Music Release";Stream;1;RUB;0.101712239957
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";whoisnewell;недовольна;недовольна;3617226875168;DG-A08-23-59657;;"Music Release";Stream;1;RUB;1.887010954503
01/05/2025;01/05/2025;"YouTube Official Content";Italy;"трэп хаус квэльчиков";whoisnewell;недовольна;недовольна;3617226875168;DG-A08-23-59657;;"Music Release";Stream;1;RUB;0.371918189687
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";whoisnewell;недовольна;недовольна;3617226875168;DG-A08-23-59657;;"Music Release";Stream;1;RUB;0.026683874550
