"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;1;RUB;0.112080375589
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;17;RUB;0.360691761238
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;1;RUB;0.077906441929
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;1;RUB;0.088029633062
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;38;RUB;0.999401833068
01/04/2025;01/03/2025;"UMA (Vkontakte)";Belarus;"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;1;RUB;0.004200000038
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;29;RUB;0.566264963281
01/06/2025;01/05/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;8;RUB;0.547330887054
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;6;RUB;0.127742104899
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;-1;RUB;-0.029333478725
01/04/2025;01/03/2025;"UMA (Vkontakte)";Uzbekistan;"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;1;RUB;0.004200000038
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;1;RUB;0.031120083575
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Moldova, Republic Of";"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;1;RUB;0.004200000036
01/06/2025;01/06/2025;"YouTube Official Content";Netherlands;"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;1;RUB;0.067183452515
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;107;RUB;2.337977644517
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;1;RUB;0.107925561401
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;37;RUB;0.771753472214
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;1;RUB;0.053350367564
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;1;RUB;-0.802008876862
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";wwhouu;суккуб;суккуб;3617057754526;FR-X20-23-29203;;"Music Release";Stream;1;RUB;0.079561913415
