"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;12;RUB;0.250298423376
01/05/2025;01/05/2025;"YouTube Official Content";"Czech Republic";thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;1;RUB;0.041713596325
01/06/2025;01/06/2025;"YouTube Official Content";"Moldova, Republic Of";thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;2;RUB;0.008335302957
01/06/2025;01/06/2025;"YouTube Official Content";Tunisia;thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;1;RUB;0.007811499746
01/04/2025;01/04/2025;"YouTube Official Content";Poland;thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;22;RUB;6.551655189158
01/05/2025;01/04/2025;Yandex;Kyrgyzstan;thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;1;RUB;0.021850258413
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;16;RUB;0.255744073578
01/05/2025;01/04/2025;Yandex;Uzbekistan;thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;2;RUB;0.043700516681
01/04/2025;01/03/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;1;RUB;0.004200000038
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;12;RUB;0.796965472834
01/06/2025;01/05/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;1;RUB;0.129581197778
01/05/2025;01/04/2025;Yandex;Kazakhstan;thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;4;RUB;0.087401033434
01/04/2025;01/03/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;1;RUB;0.124171690422
01/06/2025;01/06/2025;"YouTube Official Content";France;thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;1;RUB;0.022432440931
01/05/2025;01/05/2025;"YouTube Official Content";Poland;thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;6;RUB;1.606281255306
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;46;RUB;0.951713313102
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;30;RUB;1.351986576650
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;59;RUB;1.102926429665
01/06/2025;01/06/2025;"YouTube Official Content";"United States";thqlabel;yordaa;рядом;рядом;3617392520077;FR-96X-25-02214;;"Music Release";Stream;2;RUB;0.186223420705
