"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"Sunshine Joy";0880392648611;RU-A3R-19-41116;;"Music Release";Stream;1;RUB;-0.001875896377
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"Upcoming Journey";0880392648611;RU-A3R-19-41121;;"Music Release";Stream;1;RUB;0.135317789169
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"Dream Beyond Reality";0880392648611;RU-A3R-19-41120;;"Music Release";Stream;1;RUB;0.044284257187
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"Weeping Trees";0880392648611;RU-A3R-19-41119;;"Music Release";Stream;1;RUB;-0.001039856963
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"No Words to Say";0880392648611;RU-A3R-19-41122;;"Music Release";Stream;1;RUB;31.872695169438
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"Upcoming Journey";0880392648611;RU-A3R-19-41121;;"Music Release";Stream;1;RUB;-0.003155594070
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"No Words to Say";0880392648611;RU-A3R-19-41122;;"Music Release";Stream;1;RUB;-0.072959244271
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"Sunshine Joy";0880392648611;RU-A3R-19-41116;;"Music Release";Stream;1;RUB;0.026683874550
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"Sunshine Joy";0880392648611;RU-A3R-19-41116;;"Music Release";Stream;1;RUB;0.124817592770
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"Above the Clouds";0880392648611;RU-A3R-19-41117;;"Music Release";Stream;1;RUB;0.283099181918
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"Spring Rest";0880392648611;RU-A3R-19-41118;;"Music Release";Stream;1;RUB;0.013285277441
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"Weeping Trees";0880392648611;RU-A3R-19-41119;;"Music Release";Stream;1;RUB;0.101715300189
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"No Words to Say";0880392648611;RU-A3R-19-41122;;"Music Release";Stream;1;RUB;191.615785826634
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"Spring Rest";0880392648611;RU-A3R-19-41118;;"Music Release";Stream;1;RUB;-0.001990189651
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"Above the Clouds";0880392648611;RU-A3R-19-41117;;"Music Release";Stream;1;RUB;-0.003384817697
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"Upcoming Journey";0880392648611;RU-A3R-19-41121;;"Music Release";Stream;1;RUB;0.004332735308
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"Weeping Trees";0880392648611;RU-A3R-19-41119;;"Music Release";Stream;1;RUB;1.030361387145
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";zums;"Spiritual Message";"Above the Clouds";0880392648611;RU-A3R-19-41117;;"Music Release";Stream;1;RUB;0.031704068212
