"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"19 o'clock, щкёрт";"Ты Не Бывшая";"Ты Не Бывшая";3617394997457;FR-X20-25-72961;;"Music Release";Stream;24;RUB;0.259856123335
01/08/2025;01/07/2025;Yandex;"Russian Federation";"DARKI MUZIK";"19 o'clock, щкёрт";"Ты Не Бывшая";"Ты Не Бывшая";3617394997457;FR-X20-25-72961;;"Music Release";Stream;8;RUB;0.065794271198
01/08/2025;01/08/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";"19 o'clock, щкёрт";"Ты Не Бывшая";"Ты Не Бывшая";3617394997457;FR-X20-25-72961;;"Music Release";Stream;1;RUB;0.040849200043
01/07/2025;01/07/2025;"Apple Music";"United States";"DARKI MUZIK";"19 o'clock, щкёрт";"Ты Не Бывшая";"Ты Не Бывшая";3617394997457;FR-X20-25-72961;;"Music Release";Stream;1;RUB;0.350096958737
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";"19 o'clock, щкёрт";"Ты Не Бывшая";"Ты Не Бывшая";3617394997457;FR-X20-25-72961;;"Music Release";Stream;1;RUB;0.088798865410
01/07/2025;01/06/2025;Yandex;"Russian Federation";"DARKI MUZIK";"19 o'clock, щкёрт";"Ты Не Бывшая";"Ты Не Бывшая";3617394997457;FR-X20-25-72961;;"Music Release";Stream;5;RUB;0.091160758686
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"19 o'clock, щкёрт";"Ты Не Бывшая";"Ты Не Бывшая";3617394997457;FR-X20-25-72961;;"Music Release";Stream;19;RUB;0.079800000038
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"19 o'clock, щкёрт";"Ты Не Бывшая";"Ты Не Бывшая";3617394997457;FR-X20-25-72961;;"Music Release";Stream;25;RUB;0.105000000039
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";"19 o'clock, щкёрт";"Ты Не Бывшая";"Ты Не Бывшая";3617394997457;FR-X20-25-72961;;"Music Release";Stream;1;RUB;0.217589111566
01/07/2025;01/06/2025;"UMA (Odnoklassniki)";"Russian Federation";"DARKI MUZIK";"19 o'clock, щкёрт";"Ты Не Бывшая";"Ты Не Бывшая";3617394997457;FR-X20-25-72961;;"Music Release";Stream;1;RUB;0.004200000000
01/09/2025;01/08/2025;Yandex;"Russian Federation";"DARKI MUZIK";"19 o'clock, щкёрт";"Ты Не Бывшая";"Ты Не Бывшая";3617394997457;FR-X20-25-72961;;"Music Release";Stream;5;RUB;0.108196494322
01/07/2025;01/06/2025;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";"19 o'clock, щкёрт";"Ты Не Бывшая";"Ты Не Бывшая";3617394997457;FR-X20-25-72961;;"Music Release";Stream;2;RUB;0.299411326852
