"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/08/2025;"YouTube Official Content";Poland;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер";"PRIME MODE, Vol. 1";CANDY;3617397190671;FR-X45-25-18651;;"Music Release";Stream;3;RUB;0.497692052508
01/07/2025;01/07/2025;"YouTube Official Content";Ukraine;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер";"PRIME MODE, Vol. 1";CANDY;3617397190671;FR-X45-25-18651;;"Music Release";Stream;11;RUB;0.883541761778
01/09/2025;01/09/2025;"YouTube Official Content";Ukraine;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер";"PRIME MODE, Vol. 1";CANDY;3617397190671;FR-X45-25-18651;;"Music Release";Stream;8;RUB;0.853694137673
01/08/2025;01/08/2025;"YouTube Official Content";Belarus;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер";"PRIME MODE, Vol. 1";CANDY;3617397190671;FR-X45-25-18651;;"Music Release";Stream;1;RUB;0.035412432410
01/08/2025;01/08/2025;"YouTube Official Content";Latvia;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер";"PRIME MODE, Vol. 1";CANDY;3617397190671;FR-X45-25-18651;;"Music Release";Stream;2;RUB;0.607655575416
01/08/2025;01/08/2025;"YouTube Official Content";Bulgaria;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер";"PRIME MODE, Vol. 1";CANDY;3617397190671;FR-X45-25-18651;;"Music Release";Stream;1;RUB;0.104200137966
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер";"PRIME MODE, Vol. 1";HUNTERS;3617397190671;FR-X45-25-18650;;"Music Release";Stream;1;RUB;0.014005222398
01/07/2025;01/07/2025;"YouTube Official Content";"United States";"Stars Clique";"AlwaysAlone, Sencho, Жан Робер";"PRIME MODE, Vol. 1";CANDY;3617397190671;FR-X45-25-18651;;"Music Release";Stream;4;RUB;2.070330141180
01/07/2025;01/07/2025;"Apple Music";"United States";"Stars Clique";"AlwaysAlone, Sencho, Жан Робер";"PRIME MODE, Vol. 1";CANDY;3617397190671;FR-X45-25-18651;;"Music Release";Stream;1;RUB;0.350096958737
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"AlwaysAlone, Sencho, Жан Робер";"PRIME MODE, Vol. 1";HUNTERS;3617397190671;FR-X45-25-18650;;"Music Release";Stream;40;RUB;0.860970713492
01/07/2025;01/06/2025;Yandex;Belarus;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер";"PRIME MODE, Vol. 1";CANDY;3617397190671;FR-X45-25-18651;;"Music Release";Stream;2;RUB;0.043989140298
01/08/2025;01/08/2025;"YouTube Official Content";Kazakhstan;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер";"PRIME MODE, Vol. 1";CANDY;3617397190671;FR-X45-25-18651;;"Music Release";Stream;1;RUB;0.183077990576
01/07/2025;01/07/2025;"YouTube Official Content";"Russian Federation";"Stars Clique";"AlwaysAlone, Sencho, Жан Робер";"PRIME MODE, Vol. 1";CANDY;3617397190671;FR-X45-25-18651;;"Music Release";Stream;1;RUB;0.509876837914
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"AlwaysAlone, Sencho, Жан Робер";"PRIME MODE, Vol. 1";HUNTERS;3617397190671;FR-X45-25-18650;;"Music Release";Stream;4;RUB;0.086557195410
01/09/2025;01/09/2025;"YouTube Official Content";Israel;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер";"PRIME MODE, Vol. 1";CANDY;3617397190671;FR-X45-25-18651;;"Music Release";Stream;1;RUB;0.400048567710
