"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/08/2025;"YouTube Official Content";Bulgaria;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер, helllayge, reuzy";"PRIME MODE, Vol. 1";"РАБ ЛАМПЫ";3617397190671;FR-X45-25-18648;;"Music Release";Stream;1;RUB;0.172015371548
01/09/2025;01/09/2025;"YouTube Official Content";Ukraine;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер, helllayge, reuzy";"PRIME MODE, Vol. 1";"РАБ ЛАМПЫ";3617397190671;FR-X45-25-18648;;"Music Release";Stream;2;RUB;0.197717223956
01/09/2025;01/07/2025;TikTok;Belarus;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер, helllayge, reuzy";"PRIME MODE, Vol. 1";"РАБ ЛАМПЫ";3617397190671;FR-X45-25-18648;;"Music Release";Creation;4;RUB;0.271599762370
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"AlwaysAlone, Sencho, Жан Робер, helllayge, reuzy";"PRIME MODE, Vol. 1";"РАБ ЛАМПЫ";3617397190671;FR-X45-25-18648;;"Music Release";Stream;7;RUB;0.151475091988
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";"AlwaysAlone, Sencho, Жан Робер, helllayge, reuzy";"PRIME MODE, Vol. 1";"РАБ ЛАМПЫ";3617397190671;FR-X45-25-18648;;"Music Release";Stream;30;RUB;0.658391455643
01/09/2025;01/08/2025;Yandex;Belarus;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер, helllayge, reuzy";"PRIME MODE, Vol. 1";"РАБ ЛАМПЫ";3617397190671;FR-X45-25-18648;;"Music Release";Stream;7;RUB;0.151475091988
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"AlwaysAlone, Sencho, Жан Робер, helllayge, reuzy";"PRIME MODE, Vol. 1";"РАБ ЛАМПЫ";3617397190671;FR-X45-25-18648;;"Music Release";Stream;31;RUB;0.607368369858
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"AlwaysAlone, Sencho, Жан Робер, helllayge, reuzy";"PRIME MODE, Vol. 1";"РАБ ЛАМПЫ";3617397190671;FR-X45-25-18648;;"Music Release";Stream;94;RUB;2.048677500797
01/08/2025;01/08/2025;"YouTube Official Content";Belarus;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер, helllayge, reuzy";"PRIME MODE, Vol. 1";"РАБ ЛАМПЫ";3617397190671;FR-X45-25-18648;;"Music Release";Stream;4;RUB;0.061173241082
01/07/2025;01/07/2025;"YouTube Official Content";Netherlands;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер, helllayge, reuzy";"PRIME MODE, Vol. 1";"РАБ ЛАМПЫ";3617397190671;FR-X45-25-18648;;"Music Release";Stream;1;RUB;0.102050255554
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"AlwaysAlone, Sencho, Жан Робер, helllayge, reuzy";"PRIME MODE, Vol. 1";"РАБ ЛАМПЫ";3617397190671;FR-X45-25-18648;;"Music Release";Stream;1;RUB;0.004200000039
01/09/2025;01/08/2025;"Amazon Music Streaming";Italy;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер, helllayge, reuzy";"PRIME MODE, Vol. 1";"РАБ ЛАМПЫ";3617397190671;FR-X45-25-18648;;"Music Release";Stream;1;RUB;0.057116246061
01/09/2025;01/09/2025;"YouTube Official Content";Belarus;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер, helllayge, reuzy";"PRIME MODE, Vol. 1";"РАБ ЛАМПЫ";3617397190671;FR-X45-25-18648;;"Music Release";Stream;7;RUB;0.088261177146
01/08/2025;01/07/2025;Yandex;Belarus;"Stars Clique";"AlwaysAlone, Sencho, Жан Робер, helllayge, reuzy";"PRIME MODE, Vol. 1";"РАБ ЛАМПЫ";3617397190671;FR-X45-25-18648;;"Music Release";Stream;5;RUB;0.107136621727
