"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/08/2025;"YouTube Official Content";"United Kingdom";"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;1;RUB;1.088563082858
01/08/2025;01/08/2025;"YouTube Official Content";"United States";"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;2;RUB;1.578286083862
01/08/2025;01/08/2025;"YouTube Official Content";"Serbia And Montenegro";"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;1;RUB;0.247223848136
01/09/2025;01/09/2025;"Apple Music";"United States";"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;1;RUB;0.194028471774
01/07/2025;01/07/2025;"YouTube Official Content";Germany;"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;1;RUB;0.852820216920
01/09/2025;01/09/2025;"YouTube Official Content";Kazakhstan;"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;1;RUB;0.008610846570
01/08/2025;01/08/2025;"YouTube Official Content";Ukraine;"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;6;RUB;0.646904740267
01/09/2025;01/07/2025;TikTok;Belarus;"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Creation;1;RUB;0.067899940593
01/08/2025;01/08/2025;"YouTube Official Content";Georgia;"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;1;RUB;0.074134654370
01/09/2025;01/09/2025;"YouTube Official Content";Ukraine;"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;2;RUB;0.255360658992
01/08/2025;01/07/2025;Yandex;Belarus;"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;5;RUB;0.107136621727
01/08/2025;01/08/2025;"YouTube Official Content";Latvia;"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;1;RUB;0.414934403616
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;1;RUB;0.001633751262
01/07/2025;01/06/2025;Yandex;Belarus;"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;4;RUB;0.087978280522
01/08/2025;01/08/2025;"YouTube Official Content";Belarus;"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;9;RUB;0.048049819080
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;24;RUB;0.514255784439
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;8;RUB;0.033600000000
01/08/2025;01/08/2025;"YouTube Official Content";Turkey;"Stars Clique";"AlwaysAlone, Sencho, reuzy";"PRIME MODE, Vol. 1";BLACK;3617397190671;FR-X45-25-18646;;"Music Release";Stream;1;RUB;0.037715054016
