"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;"Facebook / Instagram";"United States";"Million dollar music";"Avenue Star, Ecsta";"выше всех";"выше всех";3617397498579;FR-X45-25-44193;;"Music Release";Stream;2;RUB;0.013603241295
01/08/2025;01/07/2025;"Facebook / Instagram";Argentina;"Million dollar music";"Avenue Star, Ecsta";"выше всех";"выше всех";3617397498579;FR-X45-25-44193;;"Music Release";Stream;2;RUB;0.003403456634
01/09/2025;01/08/2025;SberZvuk;Kazakhstan;"Million dollar music";"Avenue Star, Ecsta";"выше всех";"выше всех";3617397498579;FR-X45-25-44193;;"Music Release";Stream;3;RUB;0.000000292150
01/09/2025;01/08/2025;SberZvuk;Ukraine;"Million dollar music";"Avenue Star, Ecsta";"поделись своей болью";"поделись своей болью";3617399640211;FR-X87-25-13231;;"Music Release";Stream;12;RUB;0.000001168598
01/09/2025;01/08/2025;Yandex;Kazakhstan;"Million dollar music";"Avenue Star, Ecsta";"выше всех";"выше всех";3617397498579;FR-X45-25-44193;;"Music Release";Stream;4;RUB;0.015769899050
01/08/2025;01/07/2025;"UMA (Vkontakte)";Belarus;"Million dollar music";"Avenue Star, Ecsta";"выше всех";"выше всех";3617397498579;FR-X45-25-44193;;"Music Release";Stream;5;RUB;0.021000000038
01/07/2025;01/06/2025;"Facebook / Instagram";Australia;"Million dollar music";"Avenue Star, Ecsta";"выше всех";"выше всех";3617397498579;FR-X45-25-44193;;"Music Release";Stream;3;RUB;0.024491365689
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Million dollar music";"Avenue Star, Ecsta";"выше всех";"выше всех";3617397498579;FR-X45-25-44193;;"Music Release";Stream;37;RUB;0.419067940281
01/08/2025;01/07/2025;Yandex;Kazakhstan;"Million dollar music";"Avenue Star, Ecsta";"выше всех";"выше всех";3617397498579;FR-X45-25-44193;;"Music Release";Stream;7;RUB;0.026762892962
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Million dollar music";"Avenue Star, Ecsta";"выше всех";"выше всех";3617397498579;FR-X45-25-44193;;"Music Release";Stream;35;RUB;0.721981811798
01/07/2025;01/07/2025;"YouTube UGC";Canada;"Million dollar music";"Avenue Star, Ecsta";"выше всех";"выше всех";3617397498579;FR-X45-25-44193;;"Music Release";Stream;2;RUB;0.053879581046
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Million dollar music";"Avenue Star, Ecsta";"выше всех";"выше всех";3617397498579;FR-X45-25-44193;;"Music Release";Stream;1;RUB;0.307704426853
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";"Million dollar music";"Avenue Star, Ecsta";"поделись своей болью";"поделись своей болью";3617399640211;FR-X87-25-13231;;"Music Release";Stream;7;RUB;0.934082633942
01/07/2025;01/06/2025;"Facebook / Instagram";"New Zealand";"Million dollar music";"Avenue Star, Ecsta";"выше всех";"выше всех";3617397498579;FR-X45-25-44193;;"Music Release";Stream;1;RUB;0.008260593720
01/09/2025;01/08/2025;NetEase;"China Mainland";"Million dollar music";"Avenue Star, Ecsta";"поделись своей болью";"поделись своей болью";3617399640211;FR-X87-25-13231;;"Music Release";Stream;1;RUB;0.035573222632
01/07/2025;01/06/2025;"Facebook / Instagram";Slovakia;"Million dollar music";"Avenue Star, Ecsta";"выше всех";"выше всех";3617397498579;FR-X45-25-44193;;"Music Release";Stream;1;RUB;0.001484326091
01/07/2025;01/06/2025;Yandex;Belarus;"Million dollar music";"Avenue Star, Ecsta";"выше всех";"выше всех";3617397498579;FR-X45-25-44193;;"Music Release";Stream;7;RUB;0.022277347070
