"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";Beseane;"Точка кипения";"Точка кипения";3617395002884;FR-X20-25-73387;;"Music Release";Stream;1;RUB;0.006050964801
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";Beseane;"71 Стиль";"71 Стиль";3617394097171;FR-X20-25-23007;;"Music Release";Stream;2;RUB;0.303087007747
01/08/2025;01/07/2025;"UMA (Odnoklassniki)";"Russian Federation";"DARKI MUZIK";Beseane;"71 Стиль";"71 Стиль";3617394097171;FR-X20-25-23007;;"Music Release";Stream;1;RUB;0.004200000038
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";Beseane;"71 Стиль";"71 Стиль";3617394097171;FR-X20-25-23007;;"Music Release";Stream;1;RUB;0.172406485472
01/07/2025;01/06/2025;Yandex;Kazakhstan;"DARKI MUZIK";Beseane;"71 Стиль";"71 Стиль";3617394097171;FR-X20-25-23007;;"Music Release";Stream;2;RUB;0.043989140298
01/08/2025;01/06/2025;SberZvuk;"Russian Federation";"DARKI MUZIK";Beseane;"71 Стиль";"71 Стиль";3617394097171;FR-X20-25-23007;;"Music Release";Stream;1;RUB;0.322405569168
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";Beseane;"Грязь без правил";"Грязь без правил";3617394440557;FR-X20-25-49260;;"Music Release";Stream;12;RUB;0.386812970866
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";Beseane;"71 Стиль";"71 Стиль";3617394097171;FR-X20-25-23007;;"Music Release";Stream;1;RUB;0.037337758389
01/07/2025;01/06/2025;Yandex;"Russian Federation";"DARKI MUZIK";Beseane;"Точка кипения";"Точка кипения";3617395002884;FR-X20-25-73387;;"Music Release";Stream;14;RUB;0.307923981864
01/09/2025;01/08/2025;Yandex;Belarus;"DARKI MUZIK";Beseane;"Точка кипения";"Точка кипения";3617395002884;FR-X20-25-73387;;"Music Release";Stream;1;RUB;0.021639298911
01/08/2025;01/07/2025;Yandex;"Russian Federation";"DARKI MUZIK";Beseane;"Точка кипения";"Точка кипения";3617395002884;FR-X20-25-73387;;"Music Release";Stream;11;RUB;0.235700567874
01/07/2025;01/06/2025;Yandex;Uzbekistan;"DARKI MUZIK";Beseane;"Грязь без правил";"Грязь без правил";3617394440557;FR-X20-25-49260;;"Music Release";Stream;1;RUB;0.021994570186
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";Beseane;"Грязь без правил";"Грязь без правил";3617394440557;FR-X20-25-49260;;"Music Release";Stream;23;RUB;0.678622653630
01/08/2025;01/07/2025;Yandex;"Russian Federation";"DARKI MUZIK";Beseane;"71 Стиль";"71 Стиль";3617394097171;FR-X20-25-23007;;"Music Release";Stream;36;RUB;0.771383676658
01/09/2025;01/08/2025;Yandex;"Russian Federation";"DARKI MUZIK";Beseane;"Точка кипения";"Точка кипения";3617395002884;FR-X20-25-73387;;"Music Release";Stream;4;RUB;0.086557195410
01/07/2025;01/06/2025;Yandex;Kazakhstan;"DARKI MUZIK";Beseane;"Грязь без правил";"Грязь без правил";3617394440557;FR-X20-25-49260;;"Music Release";Stream;1;RUB;0.021994570186
