"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"Bibi Sihange!";"ЕСЛИ ЧО";"ЕСЛИ ЧО";3617391749394;FR-59R-25-59250;;"Music Release";Stream;62;RUB;1.410417392740
01/09/2025;01/08/2025;SberZvuk;"Russian Federation";thqlabel;"Bibi Sihange!";"ЕСЛИ ЧО";"ЕСЛИ ЧО";3617391749394;FR-59R-25-59250;;"Music Release";Stream;1;RUB;0.083561205633
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"Bibi Sihange!";"ЕСЛИ ЧО";"ЕСЛИ ЧО";3617391749394;FR-59R-25-59250;;"Music Release";Stream;1;RUB;0.001021058566
01/07/2025;01/06/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"Bibi Sihange!";"ЕСЛИ ЧО";"ЕСЛИ ЧО";3617391749394;FR-59R-25-59250;;"Music Release";Stream;1;RUB;0.149705663389
01/08/2025;01/06/2025;TikTok;Netherlands;thqlabel;"Bibi Sihange!";"ЕСЛИ ЧО";"ЕСЛИ ЧО";3617391749394;FR-59R-25-59250;;"Music Release";Creation;1;RUB;0.066265152634
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;"Bibi Sihange!";"ЕСЛИ ЧО";"ЕСЛИ ЧО";3617391749394;FR-59R-25-59250;;"Music Release";Stream;57;RUB;1.249454044132
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;"Bibi Sihange!";Талант;Талант;3617669389536;FR-10S-25-81162;;"Music Release";Stream;18;RUB;0.395902262459
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"Bibi Sihange!";Талант;Талант;3617669389536;FR-10S-25-81162;;"Music Release";Stream;1;RUB;0.004200000038
01/07/2025;01/05/2025;"Facebook / Instagram";Worldwide;thqlabel;"Bibi Sihange!";Талант;Талант;3617669389536;FR-10S-25-81162;;"Music Release";Creation;6;RUB;1.011243204754
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"Bibi Sihange!";Талант;Талант;3617669389536;FR-10S-25-81162;;"Music Release";Stream;34;RUB;0.710924974078
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;"Bibi Sihange!";"ЕСЛИ ЧО";"ЕСЛИ ЧО";3617391749394;FR-59R-25-59250;;"Music Release";Stream;46;RUB;1.011750226261
01/08/2025;01/07/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;"Bibi Sihange!";"ЕСЛИ ЧО";"ЕСЛИ ЧО";3617391749394;FR-59R-25-59250;;"Music Release";Stream;1;RUB;0.004200000038
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;"Bibi Sihange!";Талант;Талант;3617669389536;FR-10S-25-81162;;"Music Release";Stream;27;RUB;0.584261069118
01/07/2025;01/06/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;"Bibi Sihange!";"ЕСЛИ ЧО";"ЕСЛИ ЧО";3617391749394;FR-59R-25-59250;;"Music Release";Stream;1;RUB;0.004200000000
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"Bibi Sihange!";Талант;Талант;3617669389536;FR-10S-25-81162;;"Music Release";Stream;1;RUB;0.001149667321
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"Bibi Sihange!";"ЕСЛИ ЧО";"ЕСЛИ ЧО";3617391749394;FR-59R-25-59250;;"Music Release";Stream;2;RUB;0.008400000000
