"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;Yandex;"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka";lovecash;lovecash;3617663288552;DG-A0H-24-57703;;"Music Release";Stream;31;RUB;0.670818264530
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka";LASSWAGGAS;LASSWAGGAS;3617666755938;DG-A0S-24-16047;;"Music Release";Stream;1;RUB;0.004200000000
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";"CBmainer, Paskeka";CYB3RLOVE;Отпускаю;3617389854062;DG-A06-24-19559;;"Music Release";Stream;1;RUB;0.022350738172
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";"CBmainer, Paskeka";сайберлав;Больше;3617669979294;FR-2X4-25-16033;;"Music Release";Stream;1;RUB;0.003394540557
01/07/2025;01/06/2025;Yandex;"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka";сайберлав;"Grandy Bonus";3617669979294;FR-2X4-25-16034;;"Music Release";Stream;8;RUB;0.175956561118
01/08/2025;01/07/2025;Yandex;"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka";LASSWAGGAS;LASSWAGGAS;3617666755938;DG-A0S-24-16047;;"Music Release";Stream;4;RUB;0.085709297382
01/07/2025;01/06/2025;Yandex;"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka";lovecash;lovecash;3617663288552;DG-A0H-24-57703;;"Music Release";Stream;30;RUB;0.659837104099
01/07/2025;01/06/2025;Yandex;"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka";LASSWAGGAS;LASSWAGGAS;3617666755938;DG-A0S-24-16047;;"Music Release";Stream;10;RUB;0.219945701342
01/08/2025;01/07/2025;Yandex;"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka";lovecash;lovecash;3617663288552;DG-A0H-24-57703;;"Music Release";Stream;31;RUB;0.664247054932
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";"CBmainer, Paskeka";сайберлав;"Grandy Bonus";3617669979294;FR-2X4-25-16034;;"Music Release";Stream;1;RUB;0.000398790122
